"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","iNKTD1","iNKTD2"
"10598","ENSG00000162063","CCNF","899",7.798889,9.726267,41.475892,17.873368
"10599","ENSG00000162065","TBC1D24","57465",7.840856,6.962947,4.214406,7.547345
"10600","ENSG00000162066","AMDHD2","51005",74.540465,70.081039,34.681435,65.30251
"10602","ENSG00000162069","BICDL2","146439",4.804633,1.733608,0.218974,0.332959
"10603","ENSG00000162073","PAQR4","124222",41.155574,37.997834,49.107077,41.338187
"10604","ENSG00000162076","FLYWCH2","114984",45.662134,31.990984,27.653109,38.88508
"10605","ENSG00000162078","ZG16B","124220",0,0.559684,2.25222,5.794056
"10606","ENSG00000162086","ZNF75A","7627",44.894338,41.938191,25.366787,37.744118
"10607","ENSG00000162104","ADCY9","115",12.273116,13.110241,6.445793,7.68174
"10609","ENSG00000162129","CLPB","81570",4.847397,3.898655,11.882056,6.061414
"10610","ENSG00000162139","NEU3","10825",9.248231,11.267001,4.607962,5.833392
"10611","ENSG00000162144","CYB561A3","220002",17.13291,20.421627,29.52072,30.747111
"10612","ENSG00000162148","SAXO4","220004",11.312688,7.69607,1.739191,3.647679
"10613","ENSG00000162174","ASRGL1","80150",2.389589,2.520378,5.094352,4.063054
"10614","ENSG00000162188","GNG3","2785",0.219248,0.229767,0.324771,0
"10615","ENSG00000162191","UBXN1","51035",272.801707,297.241408,149.084951,163.816653
"10616","ENSG00000162194","LBHD1","79081",5.725418,12.847066,10.579492,15.314344
"10617","ENSG00000162222","TTC9C","283237",46.337014,58.582766,47.792295,51.315591
"10618","ENSG00000162227","TAF6L","10629",15.028948,17.079645,21.257711,26.865376
"10619","ENSG00000162231","NXF1","10482",86.503766,92.806082,44.298219,81.955225
"10620","ENSG00000162236","STX5","6811",52.953384,62.073068,36.638508,47.492694
"10621","ENSG00000162241","SLC25A45","283130",20.888208,19.613058,10.583216,25.760459
"10622","ENSG00000162244","RPL29","6159",2124.286301,1795.216868,1545.744032,1543.39569
"10624","ENSG00000162298","SYVN1","84447",61.077986,72.124718,24.19277,50.171627
"10625","ENSG00000162300","ZFPL1","7542",27.927809,28.812363,20.404459,29.601701
"10626","ENSG00000162302","RPS6KA4","8986",29.734404,26.892766,29.17386,35.54993
"10627","ENSG00000162337","LRP5","4041",10.614381,14.027698,7.215394,18.853671
"10628","ENSG00000162341","TPCN2","219931",2.728595,5.052048,6.067511,11.216842
"10633","ENSG00000162368","CMPK1","51727",59.070184,63.0538,90.588956,105.991673
"10636","ENSG00000162377","COA7","65260",6.019286,3.53557,9.454072,4.744912
"10637","ENSG00000162378","ZYG11B","79699",7.157631,6.413388,3.557725,4.286835
"10638","ENSG00000162383","SLC1A7","6512",0.099296,0.034567,0.097842,0.032755
"10639","ENSG00000162384","CZIB","54987",31.009865,22.733282,42.006861,45.963842
"10640","ENSG00000162385","MAGOH","4116",61.001684,62.503148,112.753008,96.455352
"10641","ENSG00000162390","ACOT11","26027",0.995222,1.204657,1.240973,1.201108
"10643","ENSG00000162396","PARS2","25973",3.873876,4.079971,2.790071,2.696565
"10644","ENSG00000162398","CIMAP2","163747",0.406174,0.518739,0.624892,0.536224
"10646","ENSG00000162402","USP24","23358",24.332024,27.018546,17.402946,25.162554
"10648","ENSG00000162408","NOL9","79707",8.774519,12.160539,6.285995,10.747127
"10650","ENSG00000162413","KLHL21","9903",30.661608,29.953764,26.02713,38.696312
"10651","ENSG00000162415","ZSWIM5","57643",0.604696,1.017217,0.382817,0.707719
"10652","ENSG00000162419","GMEB1","10691",4.538853,7.204704,21.293009,16.412364
"10653","ENSG00000162426","SLC45A1","50651",2.153271,0.939115,0.137412,0.126679
"10654","ENSG00000162430","SELENON","57190",11.134225,16.32043,2.185367,8.718841
"10655","ENSG00000162433","AK4","205",9.554378,2.135907,2.503075,1.18475
"10656","ENSG00000162434","JAK1","3716",204.907195,248.03448,150.44021,222.333249
"10657","ENSG00000162437","RAVER2","55225",0.234073,0.139587,0.518715,0.165347
"10658","ENSG00000162438","CTRC","11330",1.99104,3.767529,0.210526,0.34102
"10659","ENSG00000162441","LZIC","84328",31.718505,28.784547,30.849151,35.02693
"10660","ENSG00000162444","RBP7","116362",0.541425,0.237777,0,0.337908
"10662","ENSG00000162458","FBLIM1","54751",3.84472,4.7029,1.254541,2.628386
"10664","ENSG00000162461","SLC25A34","284723",4.690419,3.922726,1.659002,0.447783
"10665","ENSG00000162482","AKR7A3","22977",0.991403,0.690695,0.139612,0.327237
"10666","ENSG00000162490","DRAXIN","374946",3.386032,1.51522,0.271744,4.000012
"10669","ENSG00000162496","DHRS3","9249",19.166021,10.184571,2.380355,5.424686
"10670","ENSG00000162510","MATN1","4146",0.836415,0.354001,0,0.198283
"10671","ENSG00000162511","LAPTM5","7805",1114.589595,1304.03996,930.681377,1401.164707
"10672","ENSG00000162512","SDC3","9672",0.381071,0.198444,0.038334,0.554352
"10673","ENSG00000162517","PEF1","553115",47.63428,40.512284,53.71982,61.398089
"10674","ENSG00000162520","SYNC","81493",0.218998,0.045862,0.081147,0.02173
