"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","iNKTD1","iNKTD2"
"3","ENSG00000000419","DPM1","8813",60.91787,61.845124,74.725928,63.124353
"4","ENSG00000000457","SCYL3","57147",16.47276,17.03261,13.058382,14.021896
"5","ENSG00000000460","FIRRM","55732",11.679183,17.699927,28.381609,12.68243
"6","ENSG00000000938","FGR","2268",1.141952,0.171181,1.197373,1.959497
"7","ENSG00000000971","CFH","3075",13.642117,28.565287,9.814845,32.691613
"8","ENSG00000001036","FUCA2","2519",3.236189,6.889991,20.2556,17.064856
"9","ENSG00000001084","GCLC","2729",60.888805,74.44967,36.508321,54.621665
"10","ENSG00000001167","NFYA","4800",29.610692,25.185731,25.979556,30.654823
"11","ENSG00000001460","STPG1","90529",6.054617,5.337744,3.599155,3.612322
"12","ENSG00000001461","NIPAL3","57185",45.737054,47.924054,25.619429,32.88448
"13","ENSG00000001497","LAS1L","81887",24.842912,28.399841,28.504709,26.735878
"14","ENSG00000001561","ENPP4","22875",10.527998,6.487523,11.168704,10.47292
"17","ENSG00000001629","ANKIB1","54467",43.069733,51.299996,23.419004,30.03197
"18","ENSG00000001630","CYP51A1","1595",19.26664,19.334009,60.603836,32.720787
"19","ENSG00000001631","KRIT1","889",32.055207,40.303864,34.777172,42.755349
"20","ENSG00000002016","RAD52","5893",13.44586,11.598423,7.192204,7.276032
"22","ENSG00000002330","BAD","572",81.214541,64.996512,71.562068,71.1777
"23","ENSG00000002549","LAP3","51056",36.286559,51.290031,109.20018,60.112987
"24","ENSG00000002586","CD99","4267",536.004751,518.217138,518.771307,572.384114
"25","ENSG00000002587","HS3ST1","9957",0.053066,0.211865,0.006521,0.13094
"28","ENSG00000002746","HECW1","23072",0.029706,0.075555,0,0.058005
"29","ENSG00000002822","MAD1L1","8379",61.350428,61.246611,93.805216,167.707219
"30","ENSG00000002834","LASP1","3927",134.915146,153.561161,212.496805,233.252523
"31","ENSG00000002919","SNX11","29916",9.253354,9.018793,19.837203,15.496487
"33","ENSG00000003056","M6PR","4074",222.338906,268.953615,194.836528,164.572625
"36","ENSG00000003147","ICA1","3382",1.767594,4.020442,0.447812,0.411657
"37","ENSG00000003249","DBNDD1","79007",0.376551,0.43267,0.083495,0
"38","ENSG00000003393","ALS2","57679",6.782712,9.376646,5.432303,8.163493
"39","ENSG00000003400","CASP10","843",16.622228,25.809104,23.2098,30.279727
"40","ENSG00000003402","CFLAR","8837",105.371208,144.494128,120.194438,150.910364
"41","ENSG00000003436","TFPI","7035",2.220224,3.159009,2.352958,4.628572
"42","ENSG00000003509","NDUFAF7","55471",22.042784,20.751214,13.626215,17.778733
"43","ENSG00000003756","RBM5","10181",119.885301,129.901845,72.987065,171.239614
"46","ENSG00000004059","ARF5","381",200.961523,185.516874,176.346747,187.344701
"47","ENSG00000004139","SARM1","23098",13.289787,11.516858,9.704568,14.437298
"48","ENSG00000004142","POLDIP2","26073",34.120264,39.198392,56.285423,42.523145
"49","ENSG00000004399","PLXND1","23129",141.127575,98.857948,18.510801,51.021971
"50","ENSG00000004455","AK2","204",100.217441,86.309968,124.749097,93.07802
"51","ENSG00000004468","CD38","952",7.50269,29.688672,51.355817,2.975607
"52","ENSG00000004478","FKBP4","2288",46.685778,47.002542,25.821503,24.2725
"53","ENSG00000004487","KDM1A","23028",51.886203,54.679971,30.183194,29.102761
"54","ENSG00000004534","RBM6","10180",140.337356,140.784384,58.241558,105.567311
"55","ENSG00000004660","CAMKK1","84254",9.963242,5.137585,0.843946,1.916997
"56","ENSG00000004700","RECQL","5965",63.601551,86.519277,125.890094,103.253915
"57","ENSG00000004766","VPS50","55610",15.842421,14.789077,13.349315,15.997924
"58","ENSG00000004776","HSPB6","126393",0.171458,0.119506,0.084532,0.056618
"59","ENSG00000004777","ARHGAP33","115703",56.652712,55.229511,23.080088,49.487388
"60","ENSG00000004779","NDUFAB1","4706",70.177859,94.141179,147.90195,90.955848
"63","ENSG00000004838","ZMYND10","51364",3.759336,3.815856,0.794824,2.126193
"64","ENSG00000004846","ABCB5","340273",0,0.097809,0.076443,0.034123
"66","ENSG00000004864","SLC25A13","10165",3.239336,9.572004,6.918712,5.982825
"68","ENSG00000004897","CDC27","996",42.053997,51.722268,75.355779,50.025355
"69","ENSG00000004939","SLC4A1","6521",0.019075,0.182923,0.086258,0
"71","ENSG00000004961","HCCS","3052",20.522327,24.265439,29.20123,27.161048
"72","ENSG00000004975","DVL2","1856",49.440055,37.976812,33.295128,29.716304
"74","ENSG00000005007","UPF1","5976",47.238405,44.860416,39.685897,52.900438
"75","ENSG00000005020","SKAP2","8935",23.424563,19.69857,13.159248,10.269647
"76","ENSG00000005022","SLC25A5","292",189.137898,252.778554,447.753808,221.926893
"77","ENSG00000005059","MCUB","55013",77.215612,83.817971,62.879886,73.610478
"79","ENSG00000005075","POLR2J","5439",97.311938,76.710232,101.748527,80.146711
"80","ENSG00000005100","DHX33","56919",9.439209,10.655281,12.655852,10.306238
"83","ENSG00000005156","LIG3","3980",15.059679,16.822434,16.424417,11.98741
"84","ENSG00000005175","RPAP3","79657",38.584234,43.2034,32.782437,39.69163
"85","ENSG00000005187","ACSM3","6296",2.157664,3.044695,0.839067,0.766718
"86","ENSG00000005189","REXO5","81691",5.515409,4.900553,5.67243,2.682651
"87","ENSG00000005194","CIAPIN1","57019",33.356636,31.909631,39.33637,33.248189
"88","ENSG00000005206","SPPL2B","56928",71.176741,82.487209,24.205026,55.132194
"89","ENSG00000005238","ATOSB","80256",29.624901,33.1114,17.164922,22.95675
"90","ENSG00000005243","COPZ2","51226",4.927845,2.81031,9.478678,8.932745
"91","ENSG00000005249","PRKAR2B","5577",3.935157,1.129508,0.654096,0.350297
"92","ENSG00000005302","MSL3","10943",43.597328,60.190338,40.710467,56.635843
"93","ENSG00000005339","CREBBP","1387",34.222057,34.834011,31.155716,53.251313
"94","ENSG00000005379","TSPOAP1","9256",26.027514,31.37895,19.783341,56.518749
"97","ENSG00000005436","GCFC2","6936",15.910063,13.783398,12.2812,16.266767
"98","ENSG00000005448","WDR54","84058",91.909016,73.06983,54.624628,47.084326
"99","ENSG00000005469","CROT","54677",10.539855,11.498598,5.603336,11.042087
"100","ENSG00000005471","ABCB4","5244",0.059817,0.146938,0.088379,0.066999
"101","ENSG00000005483","KMT2E","55904",76.113825,90.610463,55.82656,84.705262
"102","ENSG00000005486","RHBDD2","57414",58.080054,80.04982,34.919137,55.673925
"103","ENSG00000005513","SOX8","30812",2.07526,1.595001,0.03632,0.072945
"104","ENSG00000005700","IBTK","25998",12.700516,19.15876,25.997045,27.404277
"105","ENSG00000005801","ZNF195","7748",9.185841,11.386464,15.04762,19.343723
"106","ENSG00000005810","MYCBP2","23077",70.233964,86.148518,40.428668,83.820036
"107","ENSG00000005812","FBXL3","26224",14.763716,17.922518,26.820355,36.896151
"108","ENSG00000005844","ITGAL","3683",395.939069,431.187494,538.89243,781.475876
"109","ENSG00000005882","PDK2","5164",28.637956,34.401885,21.01129,38.836313
"110","ENSG00000005884","ITGA3","3675",19.035019,26.989068,4.836572,10.861738
"111","ENSG00000005889","ZFX","7543",10.206565,18.757933,16.662131,29.099733
"112","ENSG00000005893","LAMP2","3920",69.391858,74.420007,75.128219,77.502875
"113","ENSG00000005961","ITGA2B","3674",0.549613,0.116444,0.248743,0.028757
"115","ENSG00000006007","GDE1","51573",76.484876,97.826732,51.791994,57.931485
"116","ENSG00000006015","REX1BD","55049",78.76015,63.855471,93.483309,95.727245
"118","ENSG00000006025","OSBPL7","114881",118.876728,108.045655,17.303208,27.465528
"119","ENSG00000006042","TMEM98","26022",6.751162,7.58583,15.030304,16.254722
"120","ENSG00000006047","YBX2","51087",6.618842,4.849028,0.29097,0.031599
"122","ENSG00000006062","MAP3K14","9020",26.54042,28.784996,12.383516,20.60888
"125","ENSG00000006118","TMEM132A","54972",10.601789,10.968873,0.028878,0
"126","ENSG00000006125","AP2B1","163",105.418451,112.188909,145.103001,130.82082
"128","ENSG00000006194","ZNF263","10127",38.510726,31.814648,20.875673,30.68833
"130","ENSG00000006282","SPATA20","64847",8.05685,13.73298,11.316369,21.632144
"131","ENSG00000006283","CACNA1G","8913",1.301587,1.066987,0,0.068097
"132","ENSG00000006327","TNFRSF12A","51330",19.361991,11.425234,4.48277,9.853822
"134","ENSG00000006432","MAP3K9","4293",8.398994,7.636609,3.209142,3.087585
"135","ENSG00000006451","RALA","5898",47.052101,56.332869,26.942624,28.555445
"136","ENSG00000006453","BAIAP2L1","55971",0.224345,0.234163,0.075334,0.040345
"137","ENSG00000006459","KDM7A","80853",22.149912,23.068057,13.16185,14.836581
"138","ENSG00000006468","ETV1","2115",1.584491,0.950663,1.884206,3.08167
"140","ENSG00000006534","ALDH3B1","221",0.121982,0.310198,0.054152,0.130308
"141","ENSG00000006555","TTC22","55001",5.158325,9.745588,5.513809,8.502789
"142","ENSG00000006576","PHTF2","57157",37.524643,50.13666,65.524002,95.466136
"144","ENSG00000006607","FARP2","9855",10.925577,13.133764,8.191161,9.104521
"146","ENSG00000006625","GGCT","79017",28.542497,31.012327,67.075427,34.963161
"147","ENSG00000006634","DBF4","10926",20.035231,24.89091,73.307412,33.925399
"148","ENSG00000006638","TBXA2R","6915",2.141863,1.833349,1.085889,1.865397
"149","ENSG00000006652","IFRD1","3475",27.038389,36.215368,16.459646,25.694486
"151","ENSG00000006695","COX10","1352",8.247676,14.763017,16.864117,15.791361
"152","ENSG00000006704","GTF2IRD1","9569",1.239149,1.013118,0.090351,0.569835
"153","ENSG00000006712","PAF1","54623",39.266035,45.291583,53.800029,53.370192
"154","ENSG00000006715","VPS41","27072",24.918067,26.901263,35.003285,47.31652
"155","ENSG00000006740","ARHGAP44","9912",0.204494,0.177442,0,0.016273
"156","ENSG00000006744","ELAC2","60528",38.7364,54.857313,44.078371,40.133962
"157","ENSG00000006747","SCIN","85477",0.227063,0.136764,0.016083,0.230179
"158","ENSG00000006756","ARSD","414",2.083097,2.511221,5.046728,11.580868
"159","ENSG00000006757","PNPLA4","8228",3.992095,5.393623,2.822386,2.929667
"161","ENSG00000006831","ADIPOR2","79602",37.220429,49.096583,62.595817,47.862822
"162","ENSG00000006837","CDKL3","51265",4.012483,5.310505,0.70609,1.227453
"164","ENSG00000007038","PRSS21","10942",1.172862,3.662134,4.185091,5.30087
"165","ENSG00000007047","MARK4","57787",28.110069,32.951458,12.623377,21.898466
"167","ENSG00000007080","CCDC124","115098",85.322641,85.808549,100.914454,90.550762
"168","ENSG00000007129","CEACAM21","90273",91.934226,122.165876,37.704686,64.433936
"169","ENSG00000007168","PAFAH1B1","5048",83.643688,99.172471,117.113389,111.685063
"172","ENSG00000007202","BLTP2","9703",59.135047,64.320419,60.266693,61.731017
"174","ENSG00000007237","GAS7","8522",0.630436,0.564028,0.742743,1.652152
"175","ENSG00000007255","TRAPPC6A","79090",120.842879,119.126477,54.212108,110.541319
"176","ENSG00000007264","MATK","4145",59.489122,27.013559,49.738979,51.612732
"178","ENSG00000007312","CD79B","974",6.567867,13.620566,35.441363,39.808324
"180","ENSG00000007341","ST7L","54879",9.599886,10.039287,9.42877,8.735969
"181","ENSG00000007350","TKTL1","8277",1.823873,0.217217,2.273661,1.148355
"183","ENSG00000007376","RPUSD1","113000",21.043628,20.545408,29.82734,21.674877
"184","ENSG00000007384","RHBDF1","64285",0.294902,0.057455,0,0.10889
"185","ENSG00000007392","LUC7L","55692",61.102836,58.526092,29.786186,47.493924
"186","ENSG00000007402","CACNA2D2","9254",3.311856,1.910818,0.112682,0.380022
"187","ENSG00000007516","BAIAP3","8938",29.524659,52.850648,0.31135,2.792503
"188","ENSG00000007520","TSR3","115939",35.883317,36.838083,46.236921,55.416504
"189","ENSG00000007541","PIGQ","9091",43.784328,70.656899,18.063996,22.151628
"190","ENSG00000007545","CRAMP1","57585",22.048605,28.026687,11.270261,18.283945
"191","ENSG00000007866","TEAD3","7005",2.794265,3.022311,0.316193,1.021072
"193","ENSG00000007923","DNAJC11","55735",16.431321,21.109686,22.361739,20.785364
"194","ENSG00000007933","FMO3","2328",0.46535,0.251556,0.266636,0
"195","ENSG00000007944","MYLIP","29116",45.095706,49.472288,24.693626,29.391597
"197","ENSG00000007968","E2F2","1870",4.465451,14.964771,46.781084,27.238257
"198","ENSG00000008018","PSMB1","5689",193.694037,203.243414,250.939213,190.480427
"199","ENSG00000008056","SYN1","6853",0.11771,0.541633,0,0.437644
"200","ENSG00000008083","JARID2","3720",20.366704,26.682674,19.64023,24.401848
"201","ENSG00000008086","CDKL5","6792",2.653366,2.432003,1.565884,1.655472
"203","ENSG00000008128","CDK11A","728642",120.019812,153.700913,61.108838,152.236555
"204","ENSG00000008130","NADK","65220",75.669904,81.43192,68.243617,68.129161
"207","ENSG00000008226","DLEC1","9940",5.32914,6.607068,0.291141,1.987061
"208","ENSG00000008256","CYTH3","9265",4.860134,3.268838,0.656399,1.263036
"209","ENSG00000008277","ADAM22","53616",3.643479,2.40853,0.480301,0.553226
"210","ENSG00000008282","SYPL1","6856",16.222035,21.137158,13.822709,24.711171
"211","ENSG00000008283","CYB561","1534",29.051516,50.517396,14.33396,86.997736
"212","ENSG00000008294","SPAG9","9043",33.489889,32.413326,29.032709,30.000141
"213","ENSG00000008300","CELSR3","1951",3.079704,2.038233,2.224712,2.485228
"214","ENSG00000008311","AASS","10157",2.390464,2.74362,0.771207,0.994149
"216","ENSG00000008324","SS18L2","51188",72.912198,77.473318,87.733331,77.562303
"217","ENSG00000008382","MPND","84954",15.389346,16.960739,16.219856,15.819883
"218","ENSG00000008394","MGST1","4257",0.62325,1.515163,0.953567,0.884583
"219","ENSG00000008405","CRY1","1407",31.508155,27.053151,17.879479,18.776297
"221","ENSG00000008441","NFIX","4784",0.190934,0.165211,0.061419,0.013047
"222","ENSG00000008513","ST3GAL1","6482",59.092746,68.00012,80.751365,83.747333
"223","ENSG00000008516","MMP25","64386",78.939774,111.530381,161.829206,427.605588
"224","ENSG00000008517","IL32","9235",3065.970098,3827.307723,5554.275056,7930.317335
"225","ENSG00000008710","PKD1","5310",105.437882,91.014747,35.666864,81.492971
"226","ENSG00000008735","MAPK8IP2","23542",0.219729,0.241455,0.094954,0.239027
"227","ENSG00000008838","MED24","9862",29.907952,38.965415,48.132228,71.301666
"228","ENSG00000008853","RHOBTB2","23221",8.625609,6.131062,3.016266,3.479067
"229","ENSG00000008869","HEATR5B","54497",17.210046,24.524618,11.609195,18.834122
"230","ENSG00000008952","SEC62","7095",56.582809,56.629519,54.699301,65.727582
"231","ENSG00000008988","RPS20","6224",2651.857402,1952.365412,1681.363519,1715.545337
"232","ENSG00000009307","CSDE1","7812",207.796852,217.159625,206.520527,210.561775
"233","ENSG00000009335","UBE3C","9690",35.554306,40.254822,38.301297,42.430637
"234","ENSG00000009413","REV3L","5980",24.509054,27.711317,20.707035,24.720792
"235","ENSG00000009694","TENM1","10178",0.00544,0.039723,0.008035,0.021511
"238","ENSG00000009765","IYD","389434",0.264982,0.4334,0.080792,0.624033
"239","ENSG00000009780","FAM76A","199870",16.489286,15.353546,8.029356,10.863485
"240","ENSG00000009790","TRAF3IP3","80342",273.843004,358.703811,369.467925,449.894811
"241","ENSG00000009830","POMT2","29954",15.022763,24.025815,2.860805,4.455045
"242","ENSG00000009844","VTA1","51534",34.810319,32.81046,42.485332,37.078404
"243","ENSG00000009950","MLXIPL","51085",0.732455,0.465016,0.304753,0.572532
"244","ENSG00000009954","BAZ1B","9031",44.094694,48.885756,73.278636,58.281709
"245","ENSG00000010017","RANBP9","10048",48.455844,56.377822,53.218085,48.260958
"246","ENSG00000010030","ETV7","51513",2.816485,3.322575,17.445375,4.069229
"247","ENSG00000010072","SPRTN","83932",10.606316,13.196491,12.035868,9.636197
"248","ENSG00000010165","METTL13","51603",34.848148,27.592278,36.206822,27.891624
"249","ENSG00000010219","DYRK4","8798",27.693172,33.378676,30.252928,36.265704
"250","ENSG00000010244","ZNF207","7756",112.337563,151.855598,219.565534,193.616389
"251","ENSG00000010256","UQCRC1","7384",84.444281,70.865582,129.412996,82.492388
"252","ENSG00000010270","STARD3NL","83930",41.28965,39.791254,60.109581,36.695103
"253","ENSG00000010278","CD9","928",6.601888,12.25548,4.102667,18.18842
"255","ENSG00000010292","NCAPD2","9918",62.940603,85.630961,106.063937,81.021816
"256","ENSG00000010295","IFFO1","25900",48.050266,48.889647,19.430984,36.042205
"257","ENSG00000010310","GIPR","2696",35.772452,33.606285,4.375576,9.949412
"258","ENSG00000010318","PHF7","51533",23.630067,19.392601,12.310737,8.925294
"259","ENSG00000010319","SEMA3G","56920",0.044358,0.015429,0.032764,0
"260","ENSG00000010322","NISCH","11188",78.243779,76.517179,37.046896,64.432775
"262","ENSG00000010361","FUZ","80199",13.975432,13.4743,8.229242,7.550566
"263","ENSG00000010379","SLC6A13","6540",0.040522,0.042334,0.059906,0
"264","ENSG00000010404","IDS","3423",182.812535,196.481989,113.347394,136.988121
"266","ENSG00000010539","ZNF200","7752",12.955247,10.456693,8.571885,11.922489
"267","ENSG00000010610","CD4","920",109.171259,225.260116,72.295111,231.097145
"268","ENSG00000010626","LRRC23","10233",8.668657,5.418434,2.410214,5.157737
"270","ENSG00000010704","HFE","3077",1.625147,0.859922,2.6587,0.974473
"271","ENSG00000010803","SCMH1","22955",17.394864,15.715132,17.374187,21.140326
"272","ENSG00000010810","FYN","2534",522.696981,530.64772,221.778289,261.487487
"273","ENSG00000010818","HIVEP2","3097",18.997521,15.244524,9.624237,10.539082
"275","ENSG00000011007","ELOA","6924",26.891026,30.47456,32.387409,29.759945
"276","ENSG00000011009","LYPLA2","11313",52.001384,62.456099,79.671101,75.549212
"277","ENSG00000011021","CLCN6","1185",9.846626,11.996994,9.378346,10.404378
"278","ENSG00000011028","MRC2","9902",19.291169,17.048912,5.734412,10.485982
"279","ENSG00000011052","NME1-NME2","654364",2.135061,2.135977,11.079348,4.484415
"281","ENSG00000011105","TSPAN9","10867",1.331618,1.043035,0.025179,0.050565
"282","ENSG00000011114","BTBD7","55727",9.822891,9.722196,9.257826,9.667036
"283","ENSG00000011132","APBA3","9546",78.793013,78.961893,44.019136,88.420739
"284","ENSG00000011143","MKS1","54903",8.850994,9.902605,9.24456,5.96257
"285","ENSG00000011198","ABHD5","51099",6.558383,8.276999,18.146098,10.712238
"287","ENSG00000011243","AKAP8L","26993",180.30048,200.323577,43.275214,83.858395
"288","ENSG00000011258","MBTD1","54799",15.070919,15.562208,5.914391,9.441323
"289","ENSG00000011260","UTP18","51096",36.740197,36.907767,45.039195,43.85987
"290","ENSG00000011275","RNF216","54476",31.764845,30.608787,14.638806,26.183739
"291","ENSG00000011295","TTC19","54902",24.007262,23.425895,16.925438,24.079449
"292","ENSG00000011304","PTBP1","5725",149.930947,173.981517,232.332415,207.523263
"293","ENSG00000011332","DPF1","8193",0.034828,0.270631,0.128699,0
"294","ENSG00000011347","SYT7","9066",0.834384,0.109061,0,0.014764
"295","ENSG00000011376","LARS2","23395",3.999274,3.380788,12.848135,6.803823
"296","ENSG00000011405","PIK3C2A","5286",9.120032,13.750418,7.757595,12.361154
"297","ENSG00000011422","PLAUR","5329",6.83156,9.007192,6.989635,8.786598
"298","ENSG00000011426","ANLN","54443",2.982354,5.661485,31.184947,17.746321
"299","ENSG00000011451","WIZ","58525",23.349987,30.584484,17.504722,26.399761
"300","ENSG00000011454","RABGAP1","23637",18.815006,19.749276,15.596496,20.463134
"302","ENSG00000011478","QPCTL","54814",15.851392,14.106727,6.849888,7.462668
"303","ENSG00000011485","PPP5C","5536",62.00693,77.673679,93.618421,114.077319
"304","ENSG00000011523","CEP68","23177",20.961889,21.967302,2.318631,7.769092
"305","ENSG00000011566","MAP4K3","8491",5.327995,8.781692,2.883992,4.935646
"306","ENSG00000011590","ZBTB32","27033",6.418599,7.608294,22.662334,4.931762
"307","ENSG00000011600","TYROBP","7305",89.166565,83.24815,73.950979,205.010341
"308","ENSG00000011638","LDAF1","57146",12.280856,20.6769,9.226164,13.055817
"310","ENSG00000012048","BRCA1","672",7.743646,6.77755,39.873114,14.681676
"311","ENSG00000012061","ERCC1","2067",39.930309,41.416768,50.243006,51.487639
"312","ENSG00000012124","CD22","933",0.437996,0,0.02126,0.246935
"313","ENSG00000012171","SEMA3B","7869",1.038373,0.478163,0.050266,0.032277
"314","ENSG00000012174","MBTPS2","51360",5.383516,4.94348,4.568294,6.491632
"315","ENSG00000012211","PRICKLE3","4007",14.820489,17.436241,11.032615,9.170488
"316","ENSG00000012223","LTF","4057",1.515953,5.905352,0.419138,0.036256
"317","ENSG00000012232","EXTL3","2137",12.25526,13.297847,12.603429,12.968713
"319","ENSG00000012660","ELOVL5","60481",171.850537,202.515632,146.727658,142.328666
"322","ENSG00000012822","CALCOCO1","57658",297.471908,332.096571,49.758583,117.10635
"324","ENSG00000012983","MAP4K5","11183",36.802218,28.134598,23.88402,18.514011
"325","ENSG00000013016","EHD3","30845",2.05325,1.880959,2.049208,1.829328
"326","ENSG00000013275","PSMC4","5704",65.345562,73.030709,104.881154,111.670579
"327","ENSG00000013288","MAN2B2","23324",18.129357,15.281498,25.711775,32.258689
"328","ENSG00000013293","SLC7A14","57709",0.056266,0.087272,0.05213,0.062028
"329","ENSG00000013297","CLDN11","5010",0.115923,0.44404,0.090943,0
"330","ENSG00000013306","SLC25A39","51629",104.626972,90.469065,71.439453,73.47852
"331","ENSG00000013364","MVP","9961",173.418878,187.906693,112.78018,170.784028
"332","ENSG00000013374","NUB1","51667",118.085784,124.59763,67.102138,96.446437
"333","ENSG00000013375","PGM3","5238",9.143279,12.347076,18.271739,7.988387
"334","ENSG00000013392","RWDD2A","112611",5.865137,5.38211,1.352192,2.160786
"335","ENSG00000013441","CLK1","1195",158.302736,175.496099,92.09328,162.622872
"336","ENSG00000013503","POLR3B","55703",2.460952,2.78763,3.534747,3.633778
"337","ENSG00000013523","ANGEL1","23357",11.455126,15.515629,4.189216,11.376864
"338","ENSG00000013561","RNF14","9604",32.092839,26.575484,25.911528,34.922012
"339","ENSG00000013563","DNASE1L1","1774",16.246371,14.275549,18.56387,26.271186
"340","ENSG00000013573","DDX11","1663",76.818855,78.495776,80.289325,84.457904
"341","ENSG00000013583","HEBP1","50865",19.984515,21.02484,3.045912,11.110497
"343","ENSG00000013619","MAMLD1","10046",10.793353,12.523771,5.379172,7.231004
"344","ENSG00000013725","CD6","923",296.180656,472.298305,363.285768,512.134194
"345","ENSG00000013810","TACC3","10460",47.593428,67.996819,170.597833,129.236461
"346","ENSG00000014123","UFL1","23376",19.809612,22.045955,14.502193,22.291588
"347","ENSG00000014138","POLA2","23649",8.046372,9.773217,43.310856,22.347248
"349","ENSG00000014216","CAPN1","823",39.151038,62.565304,110.783201,120.873843
"351","ENSG00000014641","MDH1","4190",132.71778,145.603585,167.14236,132.591869
"352","ENSG00000014824","SLC30A9","10463",20.980117,25.992574,23.185121,19.198605
"353","ENSG00000014914","MTMR11","10903",2.322098,2.98936,0.59078,2.856059
"354","ENSG00000014919","COX15","1355",19.332513,21.078864,21.117389,18.861635
"355","ENSG00000015133","CCDC88C","440193",117.032515,116.011681,79.819158,114.232103
"356","ENSG00000015153","YAF2","10138",26.999678,22.798752,35.240247,33.69625
"357","ENSG00000015171","ZMYND11","10771",28.011586,22.849156,30.586687,42.127382
"358","ENSG00000015285","WAS","7454",89.33199,158.196757,193.711587,237.67456
"360","ENSG00000015475","BID","637",25.49665,19.984561,40.856259,31.384877
"363","ENSG00000015532","XYLT2","64132",16.834153,13.960285,13.790372,21.050495
"364","ENSG00000015568","RGPD5","84220",11.638479,11.474409,3.566611,1.90002
"365","ENSG00000015592","STMN4","81551",0.138103,0.144464,0,0.13688
"366","ENSG00000015676","NUDCD3","23386",40.408773,34.518818,32.467755,40.906579
"368","ENSG00000016391","CHDH","55349",4.660829,10.014814,8.454449,27.808331
"372","ENSG00000016864","GLT8D1","55830",64.119524,56.310539,41.047758,61.983557
"373","ENSG00000017260","ATP2C1","27032",39.051562,55.614169,42.67962,43.311044
"374","ENSG00000017427","IGF1","3479",1.323545,1.651806,0.70876,3.851587
"375","ENSG00000017483","SLC38A5","92745",21.254101,29.136893,54.097726,43.656979
"376","ENSG00000017797","RALBP1","10928",54.815597,51.088873,52.923054,43.020333
"377","ENSG00000018189","RUFY3","22902",12.281787,10.39413,3.150235,5.30198
"379","ENSG00000018280","SLC11A1","6556",0.452558,0.627308,0.144053,0.308408
"380","ENSG00000018408","WWTR1","25937",1.13297,1.766558,1.399882,2.383004
"381","ENSG00000018510","AGPS","8540",17.019687,19.705142,30.738852,25.834725
"383","ENSG00000018610","STEEP1","63932",21.936662,22.867041,25.516144,25.592279
"385","ENSG00000018699","TTC27","55622",1.414883,1.720812,8.533849,8.947962
"386","ENSG00000018869","ZNF582","147948",1.505657,0.652406,1.207638,2.197128
"388","ENSG00000019144","PHLDB1","23187",5.60833,3.58007,0.204685,0.741033
"391","ENSG00000019485","PRDM11","56981",0.265611,0.344489,2.574237,2.900398
"394","ENSG00000019582","CD74","972",1122.797353,1699.708746,2250.121382,2502.990357
"396","ENSG00000019995","ZRANB1","54764",13.227925,15.22438,9.625826,12.244043
"397","ENSG00000020129","NCDN","23154",42.697233,76.819275,18.30199,21.739077
"398","ENSG00000020181","ADGRA2","25960",1.426421,0.720051,0.067448,0.088075
"400","ENSG00000020256","ZFP64","55734",2.784543,3.458353,6.873149,9.864028
"401","ENSG00000020426","MNAT1","4331",60.831438,72.940198,52.830197,44.945416
"402","ENSG00000020577","SAMD4A","23034",1.379887,1.839624,0.026501,0.129103
"403","ENSG00000020633","RUNX3","864",265.533954,279.31618,130.91248,165.269997
"404","ENSG00000020922","MRE11","4361",15.744456,12.434988,27.612234,16.348732
"405","ENSG00000021300","PLEKHB1","58473",3.742578,1.575051,2.059881,2.277877
"406","ENSG00000021355","SERPINB1","1992",54.650981,60.114605,94.481805,49.942433
"407","ENSG00000021461","CYP3A43","64816",0.043118,0.045051,0,0.042689
"409","ENSG00000021574","SPAST","6683",11.958788,13.834792,16.793567,16.729049
"410","ENSG00000021645","NRXN3","9369",0.041854,0.024241,0,0.024686
"411","ENSG00000021762","OSBPL5","114879",3.179566,1.942663,0.799118,5.194871
"412","ENSG00000021776","AQR","9716",14.500741,17.455704,16.892147,23.457499
"413","ENSG00000021826","CPS1","1373",0.648162,1.041692,0.827615,0.68213
"415","ENSG00000022267","FHL1","2273",10.090298,17.633482,5.070569,9.282913
"416","ENSG00000022277","RTF2","51507",120.922444,136.105111,153.780744,177.247605
"419","ENSG00000022567","SLC45A4","57210",17.731868,15.602857,9.306824,18.501507
"420","ENSG00000022840","RNF10","9921",175.141556,242.693246,128.065591,169.34431
"421","ENSG00000022976","ZNF839","55778",13.461038,17.504832,8.400116,15.101448
"422","ENSG00000023041","ZDHHC6","64429",33.249617,44.167534,42.449544,47.415243
"423","ENSG00000023171","GRAMD1B","57476",85.99926,186.167965,47.597855,84.694642
"424","ENSG00000023228","NDUFS1","4719",28.67747,30.702825,53.238547,46.269824
"425","ENSG00000023287","RB1CC1","9821",32.705555,31.839936,17.651302,22.638541
"426","ENSG00000023318","ERP44","23071",23.500745,26.751223,19.365755,24.184119
"427","ENSG00000023330","ALAS1","211",28.500572,33.769536,48.978118,44.034049
"428","ENSG00000023445","BIRC3","330",69.233575,103.363811,29.6675,102.175298
"429","ENSG00000023516","AKAP11","11215",18.108025,23.209555,13.141518,21.910448
"430","ENSG00000023572","GLRX2","51022",19.296594,20.510654,31.227322,23.462781
"431","ENSG00000023608","SNAPC1","6617",8.952771,5.704404,4.058037,4.867801
"432","ENSG00000023697","DERA","51071",5.994452,6.696602,19.274369,19.145154
