"","SYMBOL","Gene","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"1","ABLIM1","ENSG00000099204",3983,60.762895,50.418531,129.599418,73.807816
"2","ACTB","ENSG00000075624",60,1630.529418,2701.758023,1862.987352,3019.85347
"3","ADGRL1","ENSG00000072071",22859,38.427974,29.124363,12.131667,1.871708
"4","AGRN","ENSG00000188157",375790,21.341764,18.262462,8.164943,3.615919
"5","AMY2B","ENSG00000240038",280,15.088753,11.453163,23.520735,11.479907
"6","ANKRD13B","ENSG00000198720",124930,18.826725,28.669613,8.729156,8.052836
"7","ANKRD42","ENSG00000137494",338699,12.714804,10.866457,6.767404,3.058662
"8","APLP1","ENSG00000105290",333,50.058468,32.387395,1.59721,0.25903
"9","APOBR","ENSG00000184730",55911,3.501936,7.902696,28.374633,65.763588
"10","APOLD1","ENSG00000178878",81575,25.451118,25.861074,23.71919,14.054066
"11","ARMC5","ENSG00000140691",79798,2.187365,2.876091,3.231901,6.753304
"12","ARSB","ENSG00000113273",411,0.743018,2.069139,3.868031,5.472301
"13","ASIC3","ENSG00000213199",9311,11.767383,11.709187,9.822034,6.309922
"14","ATF5","ENSG00000169136",22809,1.705771,4.520443,8.710494,9.144426
"15","ATG2A","ENSG00000110046",23130,78.003895,80.516084,100.377658,70.841258
"16","ATP6V0A1","ENSG00000033627",535,25.612225,26.409018,21.284781,13.15881
"17","ATP8A1","ENSG00000124406",10396,151.801285,81.91401,252.171821,89.879911
"18","BAIAP3","ENSG00000007516",8938,29.524659,52.850648,11.317486,14.998341
"19","BCL2L1","ENSG00000171552",598,27.615325,39.123531,34.552187,51.183234
"20","BICDL1","ENSG00000135127",92558,80.491412,70.697211,121.713156,101.287026
"21","C1QTNF6","ENSG00000133466",114904,23.91918,19.942247,50.01842,28.091487
"22","C20orf96","ENSG00000196476",140680,10.103038,13.316008,3.540034,2.826086
"23","C2orf92","ENSG00000228486",728537,23.430347,25.610015,22.408581,11.099442
"24","CA11","ENSG00000063180",770,33.39734,30.593606,52.437808,19.625607
"25","CAMK1","ENSG00000134072",8536,3.414908,4.638548,6.400419,10.489164
"26","CCDC183","ENSG00000213213",84960,41.547136,36.487412,11.793553,4.421805
"27","CCDC65","ENSG00000139537",85478,5.619747,5.062751,7.411996,17.528975
"28","CCDC74A","ENSG00000163040",90557,30.216472,24.957071,29.656486,9.232251
"29","CCDC74B","ENSG00000152076",91409,27.060111,16.274136,20.501697,6.799238
"30","CD40LG","ENSG00000102245",959,42.786834,61.924561,66.112694,96.923957
"31","CD79B","ENSG00000007312",974,6.567867,13.620566,22.543796,28.050108
"32","CDH24","ENSG00000139880",64403,13.202012,18.080002,3.812292,2.133966
"33","CENPN","ENSG00000166451",55839,5.52467,9.782589,10.961964,11.694499
"34","CFAP119","ENSG00000196118",90835,14.914745,18.546504,3.845303,1.306136
"35","CFAP44","ENSG00000206530",55779,15.389244,14.10593,20.490737,7.419519
"36","CFD","ENSG00000274619",1675,18.230438,12.285148,6.682038,1.370281
"37","CISH","ENSG00000114737",1154,38.61409,45.839063,38.692198,53.423207
"38","CKB","ENSG00000166165",1152,22.132825,26.743945,7.157539,1.615421
"39","CLN6","ENSG00000128973",54982,6.217597,11.58142,7.486528,8.524646
"40","COL1A1","ENSG00000108821",1277,13.085658,12.956074,4.00442,0.093806
"41","CORO1A","ENSG00000102879",11151,338.979906,432.462359,694.392697,1037.10522
"42","CORO6","ENSG00000167549",84940,31.099947,37.839493,9.657531,2.280639
"43","CRIP2","ENSG00000182809",1397,55.503684,49.289212,3.215668,0.666961
"44","CSF1","ENSG00000184371",1435,11.184724,14.629978,50.286284,48.894813
"45","CSF2","ENSG00000164400",1437,2.455121,6.099205,4.218736,9.356203
"46","CTIF","ENSG00000134030",9811,18.333477,14.941791,4.077986,2.406164
"47","CTSW","ENSG00000172543",1521,35.189994,29.209963,103.899748,69.182402
"48","CX3CR1","ENSG00000168329",1524,13.833536,6.764167,13.566329,6.25871
"49","CXCL16","ENSG00000161921",58191,16.092612,21.868475,10.492268,6.540197
"50","D2HGDH","ENSG00000180902",728294,88.617957,70.373162,129.328617,66.599111
"51","DDIT4","ENSG00000168209",54541,263.819863,170.870461,296.193163,152.823688
"52","DMTN","ENSG00000158856",2039,2.938182,2.976264,15.375584,16.849546
"53","DNAJA4","ENSG00000140403",55466,3.163911,3.021496,14.738285,15.735846
"54","DNHD1","ENSG00000179532",144132,36.943352,26.374883,26.745315,12.47172
"55","DNLZ","ENSG00000213221",728489,5.635636,5.152535,12.347714,16.803837
"56","DNM1","ENSG00000106976",1759,15.990807,13.798224,2.201759,1.094346
"57","DPP3","ENSG00000254986",10072,7.735204,11.460602,10.427447,20.564517
"58","DUSP1","ENSG00000120129",1843,18.806282,29.63782,18.163801,43.718442
"59","DUSP2","ENSG00000158050",1844,79.915333,83.125979,89.142421,76.978201
"60","DUSP6","ENSG00000139318",1848,13.20363,10.751572,14.522115,24.594792
"61","EEF1A2","ENSG00000101210",1917,18.804414,11.012688,3.121718,2.031553
"62","EFEMP2","ENSG00000172638",30008,26.543574,16.577613,15.255362,10.818338
"63","ENKD1","ENSG00000124074",84080,23.326786,21.811928,14.092612,7.285751
"64","EPHA1","ENSG00000146904",2041,22.858263,17.230233,23.543905,12.173675
"65","EPS8L1","ENSG00000131037",54869,26.839754,22.348504,20.482937,6.894102
"66","EXD3","ENSG00000187609",54932,37.922624,37.772781,22.891621,16.52253
"67","F11R","ENSG00000158769",50848,21.825367,24.976894,22.31298,9.331155
"68","FADS2","ENSG00000134824",9415,22.162034,23.677228,36.661594,51.563121
"69","FBXL16","ENSG00000127585",146330,31.266039,36.709801,24.873705,15.403829
