"","SYMBOL","GR.response.to.iNKT","VIP","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"198","VAT1"," -0.0057",1.2369,66.495241,76.847022,22.028967,14.620242
"199","WDR19"," -0.0055",1.2294,41.345853,38.432172,20.003485,14.195025
"200","WDR27"," -0.0029",0.9294,47.159121,42.42189,39.374019,19.77085
"201","WHRN"," -0.0056",1.0761,28.381737,40.290871,13.62129,21.920939
"202","WNT10B"," -0.0046",1.0673,34.792414,19.852145,12.032331,3.729887
"203","YJEFN3"," -0.0049",1.1548,23.019168,18.657323,11.84082,6.163188
"204","YPEL2","0.0063",1.1768,28.97177,35.623746,55.544992,47.618905
"205","ZC3HC1","0.0044",1.1263,2.454507,3.032082,5.436047,8.268678
"206","ZDHHC11"," -0.0057",1.2411,24.022683,26.731027,8.598519,6.042394
"207","ZMAT1","0.0058",0.9564,9.766418,7.443164,18.528558,11.010626
"208","ZNF710","0.0043",1.1134,2.062195,2.252573,4.75536,7.830477
"209","ZNF768"," -0.0052",1.2151,20.355207,20.076376,11.395024,7.499304
