"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"11409","ENSG00000164975","SNAPC3","6619",21.072402,20.197967,19.990837,24.138198
"11410","ENSG00000164976","MYORG","57462",2.742862,3.24807,2.572907,1.914822
"11411","ENSG00000164978","NUDT2","318",37.834137,40.304882,24.614813,29.19768
"11412","ENSG00000164983","TMEM65","157378",8.201105,10.228633,13.594766,14.398047
"11413","ENSG00000164985","PSIP1","11168",132.172944,114.530635,120.535001,95.999843
"11414","ENSG00000164989","CCDC171","203238",1.211531,0.692777,1.107568,0.201989
"11415","ENSG00000165006","UBAP1","51271",33.544429,40.149059,43.865523,43.345241
"11416","ENSG00000165023","DIRAS2","54769",3.613064,1.581141,1.878956,5.269596
"11417","ENSG00000165025","SYK","6850",0.406047,0.166456,1.102138,0.208417
"11418","ENSG00000165028","NIPSNAP3B","55335",1.491842,0.424449,1.744205,1.766781
"11419","ENSG00000165029","ABCA1","19",0.221288,0.482646,0.261506,0.259334
"11420","ENSG00000165030","NFIL3","4783",51.718492,59.159473,28.551953,28.091439
