logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL
4.77178577826922	5.66580877358892	15.1032901277942	2.74896481165307e-06	0.0231600285381771	4.43523529257986	CLIC3
3.28172623444861	5.66399288563254	12.6839879340648	8.23306082801117e-06	0.034681768737997	4.05258608962455	JUN
2.63848188547794	7.80575190730143	10.3081218824595	2.97870462848891e-05	0.0399555575168392	3.12740679478064	TNFAIP3
3.04549957628743	5.24150441831859	10.3548883035851	2.89699912924725e-05	0.0399555575168392	3.01383894239614	TSC22D3
2.39360155804443	6.69079147723168	9.90611688764231	3.80133645896406e-05	0.0399555575168392	2.89911467847087	PIK3R1
2.56941525836821	6.18098611035531	9.8742553108556	3.87698144662277e-05	0.0399555575168392	2.87030738013987	AUTS2
2.58839276783383	5.5809738391124	9.59304572172708	4.62492272174786e-05	0.0399555575168392	2.69590691353114	BICDL1
2.752814035858	5.99467047209521	9.50438025383224	4.89409821466487e-05	0.0399555575168392	2.65580215059762	PASK
2.39545559168161	4.83186335417842	9.5437191913444	4.77251627282386e-05	0.0399555575168392	2.59467060561697	DAPK2
2.61640663820614	5.34961688587976	9.14409372346179	6.18909464968563e-05	0.0426487378657889	2.42019969791749	DPEP2
2.40245199741807	5.76243612312122	8.96972285277178	6.95408076029049e-05	0.0426487378657889	2.34039982601099	NCDN
2.41537797759435	5.26615469114997	8.92232066886255	7.18036686688391e-05	0.0426487378657889	2.29081972271318	ATG2A
-2.47003571480109	10.648149982866	-8.80900006594296	7.75629549774953e-05	0.0426487378657889	2.25789963032948	GZMA
2.19788353401258	8.45002754995053	8.6383193885044	8.72635681970299e-05	0.0426487378657889	2.14233165841775	SPOCK2
3.26226017619317	5.05854385105536	8.74351626474435	8.11311571693851e-05	0.0426487378657889	2.1039267811272	ABLIM1
2.4128561618854	5.43968214252089	8.57642018065849	9.11189651731988e-05	0.0426487378657889	2.08367673957822	RGS2
4.29004610785249	2.09601058713265	9.79675282369922	4.0682956207714e-05	0.0399555575168392	1.93178774888853	KRT17
-2.05815406228359	5.11440918020182	-8.31603647059997	0.000109618493222086	0.0448740667569529	1.91582521416464	TEX30
2.39882848610003	5.24089173387782	8.32120782886102	0.000109211604846746	0.0448740667569529	1.90880758189194	DUSP2
2.42689428464177	7.15422508694807	8.28803134028204	0.000111852273222079	0.0448740667569529	1.90802945468061	GGA2
-4.83655601389757	3.78966595893695	-9.40518324283127	5.2167493493796e-05	0.0399555575168392	1.82709639414588	IL13
-2.79284184524981	4.04556770968111	-8.21191452729888	0.000118190996333238	0.0452617792776151	1.6560532760418	LIF
-2.38246484804777	5.53789585652568	-7.76463437492442	0.000164876489202828	0.0563303896748898	1.53384745612147	DUSP6
2.58426739764858	6.51408081921935	7.74750003118618	0.000167045257962345	0.0563303896748898	1.52279360859895	DDIT4
-2.16245852298731	4.2353852708221	-7.61087168590072	0.000185551897596915	0.0563303896748898	1.36556381960206	CLN6
2.1927022924235	4.66129254580449	7.43908149179565	0.000212230310406458	0.0563303896748898	1.27048450176078	YPEL2
-2.51347795904002	4.53015169713864	-7.44236984379448	0.000211680246137371	0.0563303896748898	1.2619486526188	DUSP5
2.10760994108769	6.0180060193254	7.35488208649421	0.000226885103614338	0.0563303896748898	1.22647308493337	KIAA0319L
3.07554119898539	6.71863286356535	7.21695333815532	0.000253452835945318	0.0563303896748898	1.1184098762552	PLXND1
3.11602577754551	5.84168224124148	7.15863380833374	0.000265738736798661	0.0563303896748898	1.07387489819668	AK1
-2.15104840802345	3.98782293376029	-7.20388483145277	0.000256148698959581	0.0563303896748898	1.04881943469164	SNX8
2.01224894540084	8.68341996158811	7.12088612415369	0.00027405195013338	0.0563303896748898	1.04052426208664	RSRP1
2.0061603860896	5.78674281651953	6.94332394683333	0.000317346566019788	0.0563303896748898	0.898157072366938	PCNX2
-2.27492226463675	4.93673356045619	-6.92494479599423	0.000322256110756333	0.0563303896748898	0.887763827732348	IFI30
2.23304737305802	7.94051139667934	6.88197191104969	0.000334075925884309	0.0563303896748898	0.843323319770235	CXCR4
2.19075405659934	8.74556186654445	6.84185319210779	0.000345557218283996	0.0563303896748898	0.811164594621978	RNF166
-2.12148829777725	7.46067672064608	-6.81182447031126	0.000354444655923732	0.0563433250218385	0.786251490237757	CD40LG
2.96408152606482	3.47842703885879	7.16056824785057	0.000265320505431671	0.0563303896748898	0.773549360804398	S100A2
2.2773077808594	5.82862335823736	6.74460091813755	0.000375298084011242	0.0575909019722313	0.733738504347754	OSBPL7
2.21209047138305	5.61073865573943	6.74252358283043	0.000375964345219314	0.0575909019722313	0.733137484180578	PAN2
3.55031880416253	2.23613297226375	7.18740698954042	0.000259594503309294	0.0563303896748898	0.722567899076386	KRT8
2.18141008528236	5.00308471601897	6.7032076428012	0.00038883093986544	0.0575969973370621	0.70627382870075	SKIL
2.05094412158027	5.18868311539871	6.60401669290499	0.000423574851170718	0.0585019364116934	0.619425002858266	PDXDC2P
3.17417807317145	5.71746124371279	6.48249521432226	0.000471043415572356	0.0636931166282096	0.517657453609539	ATP8A1
2.78378234647819	5.20702410345424	6.46211503971635	0.000479581540288816	0.0636931166282096	0.504446208983184	D2HGDH
-2.35432603204461	4.74307098400517	-6.40530882720369	0.000504321710030372	0.0650285272062657	0.456435986081121	IFNG
2.27659680120377	4.77537823866556	6.37886623150407	0.000516329318186653	0.0650285272062657	0.43437928657787	TPCN1
-3.278773904094	4.47361056714629	-6.31253084204048	0.000547905231062375	0.0662680088816914	0.363807034293941	CSF2
