"","SYMBOL","Gene","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"78","MELK","ENSG00000165304",9833,7.761366,11.58101,8.169647,9.240647
"79","MKI67","ENSG00000148773",4288,20.502975,39.903522,13.758689,18.289295
"80","MRPL27","ENSG00000108826",51264,14.770581,33.632878,25.556293,33.257781
"81","MYBL2","ENSG00000101057",4605,7.283728,8.766243,4.91001,12.288248
"82","NCAPG2","ENSG00000146918",54892,15.000911,17.46053,12.040594,16.589248
"83","NKG7","ENSG00000105374",4818,616.528121,513.495482,334.239368,294.714902
"84","NME1","ENSG00000239672",4830,8.912528,16.15017,14.65126,43.625401
"85","NUDT1","ENSG00000106268",4521,25.433352,37.27844,16.263459,33.512391
"86","OSBPL7","ENSG00000006025",114881,159.659005,88.714913,93.440773,88.798536
"87","OSM","ENSG00000099985",5008,2.065183,9.533552,0.732472,2.254569
"88","PAN2","ENSG00000135473",9924,102.177702,98.280655,115.327991,170.429747
"89","PASK","ENSG00000115687",23178,134.416554,184.714831,93.552478,235.820564
"90","PCLAF","ENSG00000166803",9768,30.106381,35.518921,18.522589,43.166829
"91","PCNA","ENSG00000132646",5111,110.101857,120.352731,98.778076,125.996441
"92","PIK3IP1","ENSG00000100100",113791,336.744912,295.594673,374.784245,200.255035
"93","PKMYT1","ENSG00000127564",9088,15.937754,17.25646,13.694663,20.779817
"94","PLA2G4B","ENSG00000243708",100137049,31.363542,23.083336,26.134061,25.324528
"95","PLK4","ENSG00000142731",10733,8.557488,14.657142,7.447046,8.826251
"96","PLXND1","ENSG00000004399",23129,345.654995,246.971306,142.101265,200.771241
"97","PPIL1","ENSG00000137168",51645,4.772005,10.172746,4.848158,7.554953
"98","PSAT1","ENSG00000135069",29968,5.924379,9.206375,5.491526,9.922822
"99","RAD51","ENSG00000051180",5888,4.545578,6.107143,6.843099,5.790539
"100","RECQL4","ENSG00000160957",9401,12.993904,10.592538,6.003223,15.704942
"101","RRM2","ENSG00000171848",6241,19.872706,41.972528,13.677915,39.839152
"102","SGSM2","ENSG00000141258",9905,210.261781,134.504895,207.846827,188.539048
"103","SHCBP1","ENSG00000171241",79801,5.913748,8.648396,5.818531,5.782634
"104","SKA1","ENSG00000262634",220134,5.574649,7.509583,3.319166,4.69146
"105","SKIL","ENSG00000136603",6498,80.326147,51.406347,96.515761,36.760245
"106","SLC43A3","ENSG00000134802",29015,5.594637,4.148581,6.5095,12.187288
"107","SMC2","ENSG00000136824",10592,10.615823,14.527062,8.142809,10.677302
"108","SMCO4","ENSG00000166002",56935,10.097904,32.073419,21.471395,44.391864
"109","SNRPD1","ENSG00000167088",6632,16.053667,31.372173,18.104441,17.705002
"110","SNX8","ENSG00000106266",29886,6.976209,6.380268,5.654965,8.567555
"111","SPOCK2","ENSG00000107742",9806,722.802763,703.758425,872.94773,432.699646
"112","STMN1","ENSG00000117632",3925,164.677763,217.439538,118.511456,196.125853
"113","TIMELESS","ENSG00000111602",8914,6.297107,7.283696,5.093789,8.175901
"114","TK1","ENSG00000167900",7083,13.083033,8.648685,14.491249,23.661544
"115","TMEM265","ENSG00000281991",100862671,18.065321,7.255512,13.997142,15.812435
"116","TNFAIP3","ENSG00000118503",7128,621.166762,454.802243,405.026431,398.260555
"117","TNFRSF8","ENSG00000120949",943,0.369498,0.29578,0.237812,0.860634
"118","TNNT3","ENSG00000130595",7140,60.159423,36.316385,108.115104,54.341025
"119","TPCN1","ENSG00000186815",53373,73.488498,44.699895,88.461381,78.170208
"120","TPM2","ENSG00000198467",7169,36.346224,32.882289,44.017184,90.70743
"121","TRIM73","ENSG00000178809",375593,37.990343,24.392409,54.2453,34.146003
"122","TSC22D3","ENSG00000157514",1831,122.26659,87.629658,72.07049,96.688319
"123","TUBA1B","ENSG00000123416",10376,292.270433,385.691474,182.682438,273.605531
"124","TXNDC17","ENSG00000129235",84817,23.974804,25.860733,26.012158,58.75603
"125","TYMS","ENSG00000176890",7298,26.919448,47.269645,13.35395,45.838493
"126","UBE2C","ENSG00000175063",11065,33.598538,50.644413,30.903696,32.813525
"127","UHRF1","ENSG00000276043",29128,7.448577,8.610804,3.609637,8.541509
"128","YPEL2","ENSG00000175155",388403,55.544992,47.618905,54.221504,23.969797
"129","ZNF83","ENSG00000167766",55769,108.52893,98.419669,211.016539,172.109487
"130","ZWINT","ENSG00000122952",11130,10.260013,18.921497,8.636224,18.045437
