logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL
3.27140204675538	6.05901981609547	13.9931716093673	8.92481175012546e-07	0.0066304580602057	5.81269487583201	JUN
4.5856646825755	6.09409756434288	13.0134281219614	1.53429551317961e-06	0.0066304580602057	4.93832226833748	CLIC3
2.20374481819029	8.74207228768934	9.86716401173468	1.1726257387625e-05	0.019087533513115	3.90960174022044	SPOCK2
-2.54218399320894	5.27555564758258	-9.48074567074138	1.56441851555276e-05	0.019087533513115	3.64496479777247	DUSP6
-2.45316610226079	10.481280258943	-9.36213854026828	1.71261928906217e-05	0.019087533513115	3.53970985084309	GZMA
2.41468192620563	8.00526668916429	9.23622033043159	1.88738463684964e-05	0.019087533513115	3.48824578414341	TNFAIP3
2.43477100480777	5.81154564809275	9.08709071317635	2.12068951224751e-05	0.019087533513115	3.34319233814384	BICDL1
-2.87181413748049	3.78848413380119	-9.54786196387278	1.48694978645806e-05	0.019087533513115	3.32369945098323	LIF
3.27117451920413	5.45709828317886	9.03569347749161	2.20843844881581e-05	0.019087533513115	3.1260885227286	ABLIM1
2.28530909537474	5.48799502975461	8.7849571634358	2.69908132661382e-05	0.0212074180962938	3.10071279939633	DUSP2
2.27569284949688	7.37596578055914	8.48441221285215	3.45493647149571e-05	0.0219110916035076	2.92258928032983	GGA2
-5.16784472619864	3.17708999034426	-10.2068864239379	9.17405799680999e-06	0.019087533513115	2.82411133127511	IL13
-2.3631548169894	3.97455347072346	-8.53553945733808	3.31115227539889e-05	0.0219110916035076	2.81127771271745	CLN6
-2.00250443064727	5.53261773873525	-8.02260335315748	5.1223243016745e-05	0.0219110916035076	2.54704573826919	TXNDC17
-2.15484734487021	4.90987880844418	-8.02590826501871	5.10757727539091e-05	0.0219110916035076	2.54328526602593	PKMYT1
-2.39199287223071	4.71153219497853	-8.03356273090328	5.07360340236664e-05	0.0219110916035076	2.53763796509864	IFI30
2.18062509458131	5.8876936857516	7.94241275723798	5.49511954715586e-05	0.0219110916035076	2.47266932657592	PAN2
-2.32626104772729	3.7425432133447	-8.10688334607191	4.76064468064627e-05	0.0219110916035076	2.44425938098982	SNX8
2.78002583790844	5.45740049163537	7.76707725583914	6.42035994922538e-05	0.0219110916035076	2.27698950560434	TSC22D3
2.11892630230821	4.91177596791832	7.7484254793224	6.52860205471605e-05	0.0219110916035076	2.23928984198174	YPEL2
-3.49272014607654	4.09323735098646	-7.83738516430224	6.02995667951358e-05	0.0219110916035076	2.23414228849482	CSF2
2.60383104623268	5.26578498210593	7.35359007177206	9.3727157655333e-05	0.0259379091181134	1.92547004967188	DAPK2
-2.04468904073322	7.36384112690042	-7.294057575809	9.91091275468532e-05	0.0259575814965895	1.9087403164304	CD40LG
-2.58974226990726	4.4443675302991	-7.25288455418898	0.000103032359099839	0.0261914317558795	1.85780938261991	IFNG
2.09890357205723	8.15427928219792	7.1983224984122	0.000108500181696085	0.0263502162582663	1.81942594702915	CXCR4
2.87238365482396	6.08582757632008	7.18623746384643	0.000109754458555778	0.0263502162582663	1.809485885586	AK1
2.18054417625706	5.43527342204455	7.03220088741532	0.000127237945863446	0.0286574500991492	1.66648100665529	ATG2A
-2.35547041338163	7.26059939374328	-6.96727065757463	0.00013551804002201	0.0286574500991492	1.60276759151727	EBP
2.29264925487382	5.35043195632817	6.90311244155875	0.000144291926060665	0.0286574500991492	1.54401989855258	SKIL
2.68696094742798	5.50555708297835	6.89574819321199	0.0001453387607187	0.0286574500991492	1.53261533743545	D2HGDH
-4.09342989955798	6.20601999105835	-6.85669718819629	0.000151032810037711	0.0286574500991492	1.50052570375499	RRM2
2.41184066192693	6.13474992339593	6.82388236970125	0.000156009491417701	0.0286574500991492	1.46811442829733	PASK
-2.2382670576748	7.72238196463771	-6.76917863190179	0.000164715798702465	0.0286574500991492	1.41165866932128	PCNA
-4.39796600770408	3.44136209380546	-6.86705310361674	0.00014949903897768	0.0286574500991492	1.1706060171321	OSM
2.16845714770737	6.67283055905354	6.52621383868465	0.000210484072893715	0.0314167879142182	1.16554195189123	SGSM2
2.38547252722042	5.14325878247537	6.45515558821865	0.000226416779697537	0.0314167879142182	1.10967358611357	TPCN1
2.29131918947051	6.66344997892664	6.45491571899484	0.000226472778616767	0.0314167879142182	1.09387842026919	DDIT4
-3.1207618099064	4.91447603370547	-6.43274304782845	0.000231716033451943	0.0314167879142182	1.0892296108813	ZWINT
-2.75850248014526	4.2448147744819	-6.33767328096349	0.000255774592559953	0.031966774432358	0.99428876185961	ACOT7
2.06902252392668	6.0015693343223	6.35171433137563	0.000252053275211171	0.031966774432358	0.993534363786023	OSBPL7
-2.90969767501967	4.81901624482602	-6.30118835902666	0.000265731955992327	0.031966774432358	0.955970664601639	ASF1B
-2.10036968900247	11.950920056484	-6.21770625059615	0.000290170611693972	0.031966774432358	0.866471726620862	ACTB
-2.93531988561569	5.39492507954705	-6.22680170590373	0.000287390838532443	0.031966774432358	0.864966385979784	MCM5
-2.8740487000517	4.03955203122474	-6.21553035597755	0.00029084001667315	0.031966774432358	0.864852265406899	PSAT1
-2.26760133047807	6.97311077973082	-6.17174908250181	0.000304679010696716	0.031966774432358	0.79875532456748	H2AX
-2.62718377703595	4.52989420812764	-6.06662032905084	0.000340982000058457	0.031966774432358	0.717430089266619	LDLR
-2.4534973947346	5.68885276962305	-6.06420622439267	0.000341870002144137	0.031966774432358	0.682683991926424	NUDT1
-3.04942374541894	4.91227420119286	-6.03325226565071	0.000353485597596611	0.031966774432358	0.675828249176817	FEN1
