"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"4635","ENSG00000116991","SIPA1L2","57568",0.674555,1.53201,2.215753
"4637","ENSG00000117000","RLF","6018",7.484718,6.388599,7.015604
"4638","ENSG00000117009","KMO","8564",0.112814,0.009927,0
"4639","ENSG00000117010","ZNF684","127396",0.691881,1.972461,1.841748
"4640","ENSG00000117013","KCNQ4","9132",0.492083,0.263144,0.10724
"4641","ENSG00000117016","RIMS3","9783",0.017436,0.6281,0.316654
"4643","ENSG00000117036","ETV3","2117",10.009729,10.582867,13.181825
"4644","ENSG00000117054","ACADM","34",16.947962,18.206901,17.121694
"4645","ENSG00000117069","ST6GALNAC5","81849",8.36855,9.72085,8.080135
"4648","ENSG00000117114","ADGRL2","23266",2.346034,2.362379,3.277971
"4649","ENSG00000117115","PADI2","11240",0.33795,0.258581,0.579628
"4650","ENSG00000117118","SDHB","6390",138.156663,109.882201,117.284204
"4651","ENSG00000117122","MFAP2","4237",0.615737,0.694488,0.844217
"4652","ENSG00000117133","RPF1","80135",48.478555,42.964166,47.557936
"4653","ENSG00000117139","KDM5B","10765",16.588273,29.254445,30.448132
"4654","ENSG00000117143","UAP1","6675",55.869537,40.276108,40.898157
"4655","ENSG00000117148","ACTL8","81569",0.471257,0.097236,0.137532
"4656","ENSG00000117151","CTBS","1486",12.555792,17.900683,15.902345
"4657","ENSG00000117152","RGS4","5999",0.025834,0.667437,1.207065
"4658","ENSG00000117153","KLHL12","59349",20.273209,15.986826,16.808259
"4660","ENSG00000117155","SSX2IP","117178",15.789778,15.867365,15.973534
"4661","ENSG00000117174","ZNHIT6","54680",26.973476,31.032243,36.559153
"4663","ENSG00000117222","RBBP5","5929",12.205462,8.168907,10.174921
"4664","ENSG00000117226","GBP3","2635",14.231216,8.5611,10.503785
"4665","ENSG00000117228","GBP1","2633",4.904861,7.72647,5.859067
"4666","ENSG00000117245","KIF17","57576",0.677856,0.770561,0.493884
"4667","ENSG00000117262","GPR89A","653519",18.818216,13.246929,14.691526
"4668","ENSG00000117266","CDK18","5129",0.480272,1.668002,1.869382
"4669","ENSG00000117280","RAB29","8934",17.152334,24.071746,22.297939
"4671","ENSG00000117298","ECE1","1889",30.789553,23.331625,26.259297
"4672","ENSG00000117305","HMGCL","3155",7.001659,10.984336,10.97459
"4673","ENSG00000117308","GALE","2582",78.00323,68.459768,67.522782
"4674","ENSG00000117318","ID3","3399",3.97186,4.091364,6.218475
"4675","ENSG00000117322","CR2","1380",0.033571,0.431564,0.417135
"4676","ENSG00000117335","CD46","4179",42.568288,51.404956,54.201936
"4677","ENSG00000117360","PRPF3","9129",47.521381,40.695689,42.460069
"4678","ENSG00000117362","APH1A","51107",119.831018,92.798741,100.353929
"4679","ENSG00000117385","P3H1","64175",11.444519,21.122553,22.410561
"4680","ENSG00000117394","SLC2A1","6513",144.298422,134.189193,136.114153
"4681","ENSG00000117395","EBNA1BP2","10969",268.045589,270.459967,281.75859
"4682","ENSG00000117399","CDC20","991",195.993491,121.349616,129.915042
"4684","ENSG00000117407","ARTN","9048",28.723719,24.747026,23.112066
"4685","ENSG00000117408","IPO13","9670",14.516711,17.107002,17.833504
"4686","ENSG00000117410","ATP6V0B","533",249.698118,336.059082,371.347829
"4687","ENSG00000117411","B4GALT2","8704",83.047861,46.694173,51.397089
"4688","ENSG00000117419","ERI3","79033",40.98882,48.356533,50.59324
"4689","ENSG00000117425","PTCH2","8643",0.015317,0.011582,0.024555
"4690","ENSG00000117448","AKR1A1","10327",49.039427,64.09522,75.199008
"4691","ENSG00000117450","PRDX1","5052",771.708165,824.396651,930.518451
"4692","ENSG00000117461","PIK3R3","8503",1.960249,5.010176,5.500655
"4693","ENSG00000117472","TSPAN1","10103",150.057924,148.340939,160.116176
"4694","ENSG00000117475","BLZF1","8548",22.817608,25.807645,25.787405
"4695","ENSG00000117477","CCDC181","57821",0.113374,0.953961,1.129314
"4696","ENSG00000117479","SLC19A2","10560",13.272734,14.416059,14.987139
"4697","ENSG00000117480","FAAH","2166",1.410249,1.483731,1.792898
"4698","ENSG00000117481","NSUN4","387338",12.720084,4.889949,6.989542
"4699","ENSG00000117500","TMED5","50999",28.496326,29.803049,32.558088
"4701","ENSG00000117505","DR1","1810",43.661275,47.157118,54.511781
"4703","ENSG00000117519","CNN3","1266",35.628831,32.539627,29.564354
"4704","ENSG00000117523","PRRC2C","23215",69.785164,56.863875,62.278884
"4705","ENSG00000117525","F3","2152",1589.271473,1425.758209,1504.104886
"4706","ENSG00000117528","ABCD3","5825",27.688781,30.539443,36.249019
"4707","ENSG00000117533","VAMP4","8674",5.776242,9.111635,10.400472
"4708","ENSG00000117543","DPH5","51611",41.921215,39.534818,47.003948
"4710","ENSG00000117569","PTBP2","58155",8.149347,3.04616,3.272754
"4711","ENSG00000117586","TNFSF4","7292",0.114899,0.528993,0.272831
"4712","ENSG00000117592","PRDX6","9588",328.365026,288.728834,306.644771
"4713","ENSG00000117593","DARS2","55157",24.263631,17.345841,18.004033
"4714","ENSG00000117594","HSD11B1","3290",0,0.186349,0.720038
"4715","ENSG00000117595","IRF6","3664",36.576454,47.767577,53.457664
"4716","ENSG00000117597","UTP25","27042",3.557303,3.133095,3.243022
"4718","ENSG00000117600","PLPPR4","9890",0,0.01082,0.01147
"4719","ENSG00000117601","SERPINC1","462",0,0.109709,0.116685
"4720","ENSG00000117602","RCAN3","11123",5.925284,4.897196,5.2972
"4721","ENSG00000117614","SYF2","25949",35.605077,28.5185,30.677811
"4722","ENSG00000117616","RSRP1","57035",19.093934,15.633893,21.171681
"4723","ENSG00000117620","SLC35A3","23443",16.631219,11.180883,12.387571
"4724","ENSG00000117625","RCOR3","55758",10.648533,11.338245,10.578013
"4725","ENSG00000117632","STMN1","3925",187.610854,154.084873,152.021102
"4726","ENSG00000117640","MTFR1L","56181",16.340973,24.367892,28.428488
"4727","ENSG00000117643","MAN1C1","57134",0.055054,0.147137,0.353235
"4728","ENSG00000117650","NEK2","4751",14.765159,12.262364,11.380615
"4729","ENSG00000117676","RPS6KA1","6195",33.383374,29.827934,33.800116
"4730","ENSG00000117682","DHDDS","79947",33.300367,27.005964,29.584535
"4731","ENSG00000117691","NENF","29937",29.852102,27.433273,32.49918
"4732","ENSG00000117697","NSL1","25936",9.591763,9.182544,12.361237
"4733","ENSG00000117707","PROX1","5629",0,0.198142,0.288024
"4734","ENSG00000117713","ARID1A","8289",18.84373,13.356031,15.371578
"4735","ENSG00000117724","CENPF","1063",37.793651,20.431845,22.87741
"4736","ENSG00000117748","RPA2","6118",59.738543,32.840021,35.966858
"4737","ENSG00000117751","PPP1R8","5511",39.639894,28.754301,31.248722
"4738","ENSG00000117758","STX12","23673",10.319394,7.223766,8.13933
"4739","ENSG00000117791","MTARC2","54996",2.593851,2.386399,4.552209
"4741","ENSG00000117859","OSBPL9","114883",35.045786,32.878251,37.147805
"4742","ENSG00000117862","TXNDC12","51060",23.844354,20.507255,19.126147
"4743","ENSG00000117868","ESYT2","57488",85.179494,75.370251,80.217734
"4744","ENSG00000117877","POLR1G","10849",41.629247,26.087967,25.464618
"4745","ENSG00000117899","MESD","23184",17.694266,14.079182,16.610517
"4746","ENSG00000117906","RCN2","5955",65.564259,59.106564,63.315608
"4747","ENSG00000117971","CHRNB4","1143",0,0.058196,0.509067
"4748","ENSG00000117983","MUC5B","727897",0.020691,0.446653,0
"4749","ENSG00000117984","CTSD","1509",259.249799,398.127623,461.15382
"4751","ENSG00000118007","STAG1","10274",13.954928,8.817604,9.745026
"4753","ENSG00000118046","STK11","6794",66.262785,73.818467,73.925467
"4754","ENSG00000118058","KMT2A","4297",16.234095,12.382123,14.745124
"4755","ENSG00000118094","TREH","11181",0.096578,0.036521,0.13553
"4756","ENSG00000118096","IFT46","56912",9.266213,8.607843,8.733213
"4760","ENSG00000118160","SLC8A2","6543",0,0.04119,0.449467
"4761","ENSG00000118162","KPTN","11133",3.69879,2.154928,1.483281
"4762","ENSG00000118181","RPS25","6230",725.951405,720.255026,797.535596
"4763","ENSG00000118193","KIF14","9928",17.628841,8.24094,8.977604
"4764","ENSG00000118194","TNNT2","7139",0.364995,0.29403,0.155284
"4765","ENSG00000118197","DDX59","83479",19.404715,10.406412,11.899078
"4766","ENSG00000118200","CAMSAP2","23271",35.831053,32.433445,33.720796
"4767","ENSG00000118217","ATF6","22926",12.237742,11.321362,12.283749
"4769","ENSG00000118242","MREG","55686",10.65581,10.781564,10.930471
"4771","ENSG00000118246","FASTKD2","22868",32.139844,20.975377,23.071175
"4772","ENSG00000118257","NRP2","8828",10.338779,10.02527,20.999337
"4773","ENSG00000118260","CREB1","1385",24.978972,24.104216,30.528079
"4774","ENSG00000118263","KLF7","8609",5.681796,6.872513,7.879303
"4776","ENSG00000118276","B4GALT6","9331",4.371385,3.862241,4.136386
"4777","ENSG00000118292","C1orf54","79630",0.364454,0.137911,0.048788
"4778","ENSG00000118298","CA14","23632",0,0.145641,0.271585
"4779","ENSG00000118307","DNAI7","55259",0,0.121388,0.10645
"4780","ENSG00000118308","IRAG2","4033",3.477249,4.435633,4.299975
"4781","ENSG00000118322","ATP10B","23120",0.20826,0.110246,0.050363
"4782","ENSG00000118363","SPCS2","9789",330.38353,246.544378,256.441835
"4783","ENSG00000118369","USP35","57558",4.636289,6.329832,6.988618
"4785","ENSG00000118407","FILIP1","27145",0.017325,0.039303,0.128398
"4786","ENSG00000118412","CASP8AP2","9994",11.207231,7.346841,6.614115
"4787","ENSG00000118418","HMGN3","9324",39.324303,99.454273,116.647157
"4788","ENSG00000118420","UBE3D","90025",5.663984,5.129971,5.579644
"4791","ENSG00000118454","ANKRD13C","81573",17.040978,17.750845,18.317082
"4792","ENSG00000118473","SGIP1","84251",1.961743,2.54565,0.983393
"4793","ENSG00000118482","PHF3","23469",21.321876,29.449907,31.587883
"4796","ENSG00000118495","PLAGL1","5325",2.816667,2.688052,2.938727
"4797","ENSG00000118496","FBXO30","84085",8.245946,7.359225,8.390135
"4798","ENSG00000118503","TNFAIP3","7128",180.496207,102.833283,106.995333
"4799","ENSG00000118507","AKAP7","9465",0.450231,1.019837,0.770004
"4800","ENSG00000118508","RAB32","10981",74.379986,53.724189,58.535705
"4801","ENSG00000118513","MYB","4602",1.340323,2.141266,1.85009
"4803","ENSG00000118515","SGK1","6446",62.297277,69.748568,73.851186
"4804","ENSG00000118518","RNF146","81847",14.223629,16.792399,17.862965
"4806","ENSG00000118523","CCN2","1490",3.99126,9.915877,10.445094
"4808","ENSG00000118557","PMFBP1","83449",0.947986,0.919909,0.859381
"4809","ENSG00000118564","FBXL5","26234",27.599356,21.543961,24.275098
"4810","ENSG00000118579","MED28","80306",31.750707,22.562611,31.144332
"4811","ENSG00000118596","SLC16A7","9194",0.694365,1.729967,3.730782
"4812","ENSG00000118600","RXYLT1","10329",15.398045,9.91337,10.691734
"4814","ENSG00000118640","VAMP8","8673",156.225234,141.60865,142.419235
"4815","ENSG00000118655","DCLRE1B","64858",10.095126,6.120313,6.096551
"4816","ENSG00000118680","MYL12B","103910",416.380783,534.608054,603.505811
"4817","ENSG00000118689","FOXO3","2309",22.463364,20.996246,22.806389
"4818","ENSG00000118690","ARMC2","84071",2.119352,1.165068,1.722883
"4820","ENSG00000118705","RPN2","6185",245.919513,208.723904,240.284804
"4821","ENSG00000118707","TGIF2","60436",23.425147,19.667027,21.340214
"4824","ENSG00000118762","PKD2","5311",8.231195,6.754963,6.013864
"4825","ENSG00000118777","ABCG2","9429",31.952144,21.076407,19.842819
"4826","ENSG00000118785","SPP1","6696",1.044004,1.512202,1.379294
"4827","ENSG00000118804","STBD1","8987",5.302985,4.765661,4.557404
"4828","ENSG00000118816","CCNI","10983",231.676303,213.641126,230.433339
"4830","ENSG00000118855","MFSD1","64747",33.596913,53.009272,54.455654
"4831","ENSG00000118873","RAB3GAP2","25782",8.239271,8.451804,7.228015
"4832","ENSG00000118894","EEF2KMT","196483",19.567379,12.581663,12.619691
"4833","ENSG00000118898","PPL","5493",113.951381,94.360846,103.011925
"4834","ENSG00000118900","UBN1","29855",24.00376,21.501527,26.581059
"4836","ENSG00000118922","KLF12","11278",2.90847,1.885862,3.83629
"4837","ENSG00000118939","UCHL3","7347",321.173416,265.411454,286.856772
"4838","ENSG00000118946","PCDH17","27253",0,0.017305,0.006114
"4839","ENSG00000118960","HS1BP3","64342",21.743228,27.381703,31.198245
"4840","ENSG00000118961","LDAH","60526",9.089404,13.629751,16.321041
"4841","ENSG00000118965","WDR35","57539",13.000379,11.072827,11.00775
"4842","ENSG00000118971","CCND2","894",2.351062,0.362121,0.441741
"4845","ENSG00000118985","ELL2","22936",13.490509,23.426018,20.202561
"4847","ENSG00000118997","DNAH7","56171",0.53197,1.569553,1.322807
"4848","ENSG00000119004","CYP20A1","57404",11.911026,3.351875,3.715944
"4849","ENSG00000119013","NDUFB3","4709",104.065576,155.526015,163.663318
"4850","ENSG00000119041","GTF3C3","9330",16.012325,11.200124,14.056842
"4851","ENSG00000119042","SATB2","23314",1.399317,3.291498,2.588288
"4852","ENSG00000119048","UBE2B","7320",57.141049,60.160563,65.305443
"4853","ENSG00000119121","TRPM6","140803",0.030472,0.163331,0.375709
"4854","ENSG00000119125","GDA","9615",29.831045,53.032768,56.45098
"4855","ENSG00000119138","KLF9","687",5.736582,9.806253,9.790041
"4856","ENSG00000119139","TJP2","9414",98.2886,86.924606,92.056242
"4858","ENSG00000119185","ITGB1BP1","9270",102.930007,64.849601,75.972095
"4859","ENSG00000119203","CPSF3","51692",54.236735,48.045174,52.153301
"4861","ENSG00000119231","SENP5","205564",12.275165,12.932574,13.87141
"4863","ENSG00000119280","C1orf198","84886",7.154567,5.690907,5.951814
"4865","ENSG00000119285","HEATR1","55127",21.525229,15.597521,16.504754
"4866","ENSG00000119314","PTBP3","9991",52.026688,62.956308,66.985365
"4867","ENSG00000119318","RAD23B","5887",128.683359,137.538504,149.724987
"4868","ENSG00000119321","FKBP15","23307",11.657546,8.895029,9.095657
"4869","ENSG00000119326","CTNNAL1","8727",121.46957,73.413185,78.350857
"4870","ENSG00000119328","ABITRAM","54942",15.813292,14.401199,14.643315
"4871","ENSG00000119333","DYNC2I2","89891",113.330717,62.704093,70.325196
"4872","ENSG00000119335","SET","6418",581.97855,388.006129,388.378193
"4873","ENSG00000119383","PTPA","5524",97.67796,64.866508,67.465473
"4874","ENSG00000119392","GLE1","2733",33.520482,21.217224,19.778717
"4875","ENSG00000119396","RAB14","51552",48.740558,42.775983,45.871971
"4876","ENSG00000119397","CNTRL","11064",11.527033,7.129545,8.423192
"4877","ENSG00000119401","TRIM32","22954",9.486377,13.267892,16.223954
"4878","ENSG00000119402","FBXW2","26190",36.345561,30.673351,35.627402
"4879","ENSG00000119403","PHF19","26147",98.11694,30.960056,28.177385
"4880","ENSG00000119408","NEK6","10783",15.509188,12.545119,14.561652
"4881","ENSG00000119411","BSPRY","54836",8.984403,14.563628,14.885004
"4882","ENSG00000119414","PPP6C","5537",24.863483,22.12066,22.90909
"4883","ENSG00000119421","NDUFA8","4702",127.180033,114.911059,130.953518
"4884","ENSG00000119431","HDHD3","81932",13.629729,11.148506,15.513441
"4885","ENSG00000119446","RBM18","92400",18.114107,22.054811,20.816321
"4887","ENSG00000119471","HSDL2","84263",22.568599,31.450639,37.116901
"4888","ENSG00000119487","MAPKAP1","79109",84.394324,62.653269,67.836208
"4889","ENSG00000119508","NR4A3","8013",0.290642,0.973409,1.122386
"4890","ENSG00000119509","INVS","27130",9.248597,12.110751,12.631921
"4891","ENSG00000119514","GALNT12","79695",2.0575,3.580434,3.417715
"4892","ENSG00000119522","DENND1A","57706",19.495115,25.156617,24.64101
"4893","ENSG00000119523","ALG2","85365",44.075769,49.541237,51.322814
"4895","ENSG00000119537","KDSR","2531",28.310639,22.88193,28.513134
"4896","ENSG00000119541","VPS4B","9525",23.371954,26.812306,30.27482
"4897","ENSG00000119547","ONECUT2","9480",0.383748,0.681768,0.894678
"4898","ENSG00000119559","C19orf25","148223",23.844806,18.086159,20.453497
"4899","ENSG00000119574","ZBTB45","84878",4.908728,3.766097,4.145252
"4900","ENSG00000119596","YLPM1","56252",28.834431,25.220277,28.918143
"4901","ENSG00000119599","DCAF4","26094",8.641593,8.939075,8.879219
"4903","ENSG00000119614","VSX2","338917",0,0.016771,0.035562
"4904","ENSG00000119616","FCF1","51077",68.369148,72.681351,75.829351
"4905","ENSG00000119630","PGF","5228",0.856517,3.603816,4.210588
"4906","ENSG00000119636","BBOF1","80127",1.808674,3.380689,4.587003
"4907","ENSG00000119638","NEK9","91754",31.006969,38.551375,38.769855
"4908","ENSG00000119640","ACYP1","97",20.555879,12.684384,14.394546
"4909","ENSG00000119650","IFT43","112752",11.63926,17.466451,16.06539
"4910","ENSG00000119655","NPC2","10577",143.068244,216.921667,209.731198
"4912","ENSG00000119661","DNAL1","83544",14.339322,15.089762,17.484603
"4913","ENSG00000119669","IRF2BPL","64207",14.913136,13.874228,15.057541
"4914","ENSG00000119673","ACOT2","10965",1.33305,0.317888,0.224247
"4915","ENSG00000119681","LTBP2","4053",0.504915,0.393051,0.725501
"4916","ENSG00000119682","AREL1","9870",17.420683,15.031398,17.46706
"4917","ENSG00000119684","MLH3","27030",4.550187,3.842844,5.535173
"4918","ENSG00000119685","TTLL5","23093",30.949129,23.092134,20.67254
"4919","ENSG00000119686","FLVCR2","55640",0.342019,1.036985,1.144422
"4920","ENSG00000119688","ABCD4","5826",22.446758,21.091525,24.995455
"4921","ENSG00000119689","DLST","1743",88.177934,57.944495,63.549108
"4923","ENSG00000119699","TGFB3","7043",0.398089,0.561436,2.850793
"4924","ENSG00000119703","ZC2HC1C","79696",1.573372,1.013116,1.351345
"4925","ENSG00000119705","SLIRP","81892",472.981623,485.035388,557.427022
"4926","ENSG00000119707","RBM25","58517",72.056015,49.318922,52.591606
"4927","ENSG00000119711","ALDH6A1","4329",2.895931,3.89836,3.498948
"4930","ENSG00000119718","EIF2B2","8892",63.796032,71.587818,72.829609
"4931","ENSG00000119720","NRDE2","55051",5.671531,3.375604,3.889321
"4932","ENSG00000119723","COQ6","51004",14.495842,8.910957,10.009778
"4933","ENSG00000119725","ZNF410","57862",40.27812,35.748573,37.83221
"4934","ENSG00000119729","RHOQ","23433",14.489848,16.668787,18.575892
"4935","ENSG00000119737","GPR75","10936",2.838728,2.739588,2.800729
"4936","ENSG00000119760","SUPT7L","9913",25.229577,25.065701,26.38849
"4937","ENSG00000119771","KLHL29","114818",13.360881,16.488125,16.332182
"4938","ENSG00000119772","DNMT3A","1788",2.408691,3.57936,2.644701
"4939","ENSG00000119777","TMEM214","54867",36.967562,25.89373,30.372976
"4940","ENSG00000119778","ATAD2B","54454",4.650885,3.044614,3.153312
"4941","ENSG00000119782","FKBP1B","2281",1.56287,3.275719,2.105383
"4942","ENSG00000119787","ATL2","64225",41.546106,31.872731,33.081424
"4943","ENSG00000119801","YPEL5","51646",16.98306,28.150258,28.461769
"4945","ENSG00000119820","YIPF4","84272",39.516552,30.063855,36.293152
"4946","ENSG00000119844","AFTPH","54812",21.902173,27.284648,27.778368
"4947","ENSG00000119862","LGALSL","29094",8.82754,6.963281,8.006968
"4949","ENSG00000119866","BCL11A","53335",0.09324,0.879254,1.015009
"4950","ENSG00000119878","CRIPT","9419",15.489585,21.757454,21.32773
"4951","ENSG00000119888","EPCAM","4072",408.462289,332.407122,375.704388
"4952","ENSG00000119899","SLC17A5","26503",9.26369,14.39273,16.979461
"4953","ENSG00000119900","OGFRL1","79627",10.817706,12.643193,12.519263
"4954","ENSG00000119906","SLF2","55719",34.711589,12.256903,11.183701
"4955","ENSG00000119912","IDE","3416",36.715566,29.186027,31.477757
"4957","ENSG00000119915","ELOVL3","83401",0.05425,1.190514,1.611772
"4958","ENSG00000119917","IFIT3","3437",9.069859,6.473972,6.516424
"4960","ENSG00000119922","IFIT2","3433",0.961949,1.520818,1.840437
"4961","ENSG00000119927","GPAM","57678",6.735014,6.485376,7.109196
"4962","ENSG00000119929","CUTC","51076",72.340477,62.748798,71.318628
"4963","ENSG00000119938","PPP1R3C","5507",1.418546,1.88261,2.70463
"4964","ENSG00000119943","PYROXD2","84795",0.399543,2.563919,0.656789
"4965","ENSG00000119946","CNNM1","26507",1.845224,2.080661,1.8891
"4966","ENSG00000119950","MXI1","4601",8.939706,19.240761,21.560728
"4967","ENSG00000119953","SMNDC1","10285",32.369035,23.006995,30.419526
"4968","ENSG00000119965","C10orf88","80007",5.44569,4.072384,6.019045
"4969","ENSG00000119969","HELLS","3070",31.723791,13.179678,8.643448
"4971","ENSG00000119977","TCTN3","26123",29.484456,27.171801,29.97746
"4972","ENSG00000119979","DENND10","404636",24.200044,19.479013,22.204024
"4973","ENSG00000119986","AVPI1","60370",40.211715,69.546809,82.892815
"4974","ENSG00000120008","WDR11","55717",18.399683,15.850402,17.492881
"4975","ENSG00000120029","ARMH3","79591",10.938691,8.162179,7.963444
"4976","ENSG00000120049","KCNIP2","30819",0.926383,0.419999,0.238908
"4977","ENSG00000120051","CFAP58","159686",0.039749,0.345685,0.318688
"4978","ENSG00000120053","GOT1","2805",122.522035,147.678315,146.926166
"4980","ENSG00000120055","C10orf95","79946",0.299372,0.339782,0.400567
"4982","ENSG00000120063","GNA13","10672",14.909261,12.801713,15.428223
"4985","ENSG00000120075","HOXB5","3215",0,0.0257,0.136285
"4987","ENSG00000120093","HOXB3","3213",0.092295,0.174476,0.086313
"4989","ENSG00000120129","DUSP1","1843",53.729647,32.316677,34.605678
"4990","ENSG00000120137","PANK3","79646",35.710767,29.91268,32.160682
"4991","ENSG00000120149","MSX2","4488",5.759486,10.904464,10.661609
"4993","ENSG00000120158","RCL1","10171",20.713631,16.198218,17.142257
"4994","ENSG00000120159","CAAP1","79886",18.443244,20.811489,20.573462
"4996","ENSG00000120162","MOB3B","79817",5.227195,5.191691,4.876825
"4998","ENSG00000120211","INSL4","3641",0.107252,0.351569,0.54498
"4999","ENSG00000120215","MLANA","2315",0,0.127572,0.045093
"5000","ENSG00000120217","CD274","29126",32.159367,21.820654,29.494213
"5004","ENSG00000120253","NUP43","348995",31.127963,19.970758,19.408119
"5005","ENSG00000120254","MTHFD1L","25902",67.447365,37.035912,35.484355
"5006","ENSG00000120256","LRP11","84918",51.324044,90.342269,95.40868
"5007","ENSG00000120262","CCDC170","80129",0,0.127193,0.292328
"5008","ENSG00000120265","PCMT1","5110",152.882957,163.650848,180.773566
"5009","ENSG00000120278","PLEKHG1","57480",0.036188,1.094662,0.964272
"5010","ENSG00000120279","MYCT1","80177",0.260642,0.248391,0.29847
"5013","ENSG00000120306","CYSTM1","84418",75.0115,99.610978,106.922224
"5014","ENSG00000120314","WDR55","54853",25.446216,22.200642,21.924724
"5015","ENSG00000120318","ARAP3","64411",8.924635,7.828428,7.742079
"5016","ENSG00000120322","PCDHB8","56128",0,0.018488,0.097371
"5017","ENSG00000120324","PCDHB10","56126",0,0.191509,0.108729
"5018","ENSG00000120327","PCDHB14","56122",0,0.507145,0.443435
"5019","ENSG00000120328","PCDHB12","56124",0.016897,0.012778,0.085498
"5021","ENSG00000120332","TNN","63923",0.01755,0.026542,0.01225
"5022","ENSG00000120333","MRPS14","63931",35.059611,36.015679,38.921901
"5023","ENSG00000120334","CENPL","91687",20.148534,12.139641,14.270508
"5024","ENSG00000120337","TNFSF18","8995",21.598509,10.185039,10.80214
"5026","ENSG00000120370","GORAB","92344",4.11537,5.351872,7.94321
"5027","ENSG00000120436","GPR31","2853",0,0.025445,0.026986
"5028","ENSG00000120437","ACAT2","39",91.015054,46.667983,51.578854
"5029","ENSG00000120438","TCP1","6950",393.105068,404.28223,435.853359
"5031","ENSG00000120451","SNX19","399979",16.359925,22.386382,22.310321
"5032","ENSG00000120457","KCNJ5","3762",0.212038,0.137556,0.077189
"5033","ENSG00000120458","MSANTD2","79684",3.915526,3.22095,3.784969
"5034","ENSG00000120471","TP53AIP1","63970",0,0.035074,0.185481
"5035","ENSG00000120498","TEX11","56159",0.044644,0.151931,0.280711
"5037","ENSG00000120509","PDZD11","51248",76.329097,61.183335,62.123503
"5038","ENSG00000120519","SLC10A7","84068",4.148484,9.780858,7.395443
"5039","ENSG00000120526","NUDCD1","84955",63.456612,47.591026,50.354022
"5040","ENSG00000120533","ENY2","56943",143.402034,143.029909,156.413956
"5041","ENSG00000120539","MASTL","84930",14.472972,8.904995,8.93595
"5042","ENSG00000120549","KIAA1217","56243",18.682695,12.489466,16.903154
"5045","ENSG00000120594","PLXDC2","84898",0.570022,0.903246,1.584909
"5046","ENSG00000120616","EPC1","80314",7.680298,4.826807,5.532923
"5048","ENSG00000120647","CCDC77","84318",14.416741,11.648481,11.493366
"5049","ENSG00000120656","TAF12","6883",4.79595,6.034819,6.179868
"5050","ENSG00000120658","ENOX1","55068",0.133686,0.758264,1.267336
"5052","ENSG00000120662","MTRF1","9617",13.81688,12.332724,14.697722
"5053","ENSG00000120669","SOHLH2","54937",55.693663,40.178896,37.12103
"5054","ENSG00000120675","DNAJC15","29103",16.782667,11.929623,14.450991
"5055","ENSG00000120685","PROSER1","80209",27.417155,30.662346,32.736016
"5056","ENSG00000120686","UFM1","51569",56.122696,72.221248,75.389261
"5057","ENSG00000120688","WBP4","11193",12.414232,6.77031,8.145504
"5058","ENSG00000120690","ELF1","1997",39.695479,42.925756,43.530705
"5059","ENSG00000120693","SMAD9","4093",0.189579,0.107508,0.123451
"5060","ENSG00000120694","HSPH1","10808",225.84623,183.689291,198.861946
"5061","ENSG00000120696","KBTBD7","84078",2.76353,3.522605,4.837126
"5062","ENSG00000120697","ALG5","29880",57.729097,40.768252,43.166571
"5063","ENSG00000120699","EXOSC8","11340",100.770573,45.229871,51.812243
"5064","ENSG00000120705","ETF1","2107",158.59326,146.912915,165.474708
"5065","ENSG00000120708","TGFBI","7045",20.034047,53.500034,58.79817
"5067","ENSG00000120725","SIL1","64374",46.68766,59.723515,61.223531
"5068","ENSG00000120727","PAIP2","51247",43.908716,49.991227,57.422712
"5070","ENSG00000120733","KDM3B","51780",24.930228,18.656439,20.970779
"5071","ENSG00000120738","EGR1","1958",18.829174,23.751061,27.868535
"5072","ENSG00000120742","SERP1","27230",79.687281,93.913282,92.070157
"5073","ENSG00000120756","PLS1","5357",35.181528,55.471657,63.932766
"5074","ENSG00000120784","ZFP30","22835",1.393388,1.37645,3.057448
"5075","ENSG00000120798","NR2C1","7181",21.560917,20.821806,20.550769
"5076","ENSG00000120800","UTP20","27340",21.944477,8.704782,9.181846
"5077","ENSG00000120802","TMPO","7112",160.018104,91.567069,93.794433
"5078","ENSG00000120805","ARL1","400",72.577449,86.205929,113.866869
"5079","ENSG00000120820","GLT8D2","83468",0.038387,0.283555,0.030802
"5080","ENSG00000120832","MTERF2","80298",4.750962,5.089439,8.157182
"5081","ENSG00000120833","SOCS2","8835",6.284482,3.067123,3.281936
"5082","ENSG00000120837","NFYB","4801",28.869969,20.392741,23.694955
"5083","ENSG00000120860","WASHC3","51019",52.352108,43.777726,50.039256
"5084","ENSG00000120868","APAF1","317",8.347756,7.444247,8.216243
"5085","ENSG00000120875","DUSP4","1846",158.465361,195.730115,211.734943
"5086","ENSG00000120885","CLU","1191",46.163975,99.150623,101.82436
"5087","ENSG00000120889","TNFRSF10B","8795",74.199267,63.092788,67.245673
"5088","ENSG00000120896","SORBS3","10174",59.200592,21.212227,20.607409
"5089","ENSG00000120899","PTK2B","2185",18.987878,17.081959,19.054786
"5091","ENSG00000120907","ADRA1A","148",0.099108,0.124945,0.106008
"5092","ENSG00000120910","PPP3CC","5533",7.087648,6.238221,5.20739
"5093","ENSG00000120913","PDLIM2","64236",41.737518,14.067102,14.15069
