"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"56","ENSG00000004700","RECQL","5965",63.908903,68.445572,70.769495
"57","ENSG00000004766","VPS50","55610",11.025568,10.726968,16.037034
"58","ENSG00000004776","HSPB6","126393",0.167502,0.167723,0.179599
"59","ENSG00000004777","ARHGAP33","115703",3.283581,7.014441,7.389343
"60","ENSG00000004779","NDUFAB1","4706",217.834217,187.665558,191.681599
"61","ENSG00000004799","PDK4","5166",14.547679,20.437386,18.572546
"63","ENSG00000004838","ZMYND10","51364",0.70724,3.190222,2.853817
"64","ENSG00000004846","ABCB5","340273",0.024236,0,0.02715
"65","ENSG00000004848","ARX","170302",0.128312,0.231435,0.268454
"66","ENSG00000004864","SLC25A13","10165",41.60807,26.809987,24.565438
"68","ENSG00000004897","CDC27","996",44.515628,50.994466,49.746327
"70","ENSG00000004948","CALCR","799",0.637884,1.983492,1.751998
"71","ENSG00000004961","HCCS","3052",113.67143,142.835866,136.787029
"72","ENSG00000004975","DVL2","1856",29.366975,36.280869,34.297536
"74","ENSG00000005007","UPF1","5976",38.792944,32.536107,34.879564
"75","ENSG00000005020","SKAP2","8935",11.952162,18.759306,24.155039
"76","ENSG00000005022","SLC25A5","292",833.655121,574.083995,569.85506
"77","ENSG00000005059","MCUB","55013",11.731565,15.208294,15.210379
"78","ENSG00000005073","HOXA11","3207",0.428555,1.848856,1.855926
"79","ENSG00000005075","POLR2J","5439",114.48017,126.420942,125.536628
"80","ENSG00000005100","DHX33","56919",26.312262,19.484956,17.549444
"81","ENSG00000005102","MEOX1","4222",47.307597,128.931797,126.652256
"82","ENSG00000005108","THSD7A","221981",0.026087,0.414858,0.047251
"83","ENSG00000005156","LIG3","3980",28.185083,15.088014,15.643589
"84","ENSG00000005175","RPAP3","79657",37.870376,33.653493,33.91677
"85","ENSG00000005187","ACSM3","6296",1.223618,2.56787,4.288311
"86","ENSG00000005189","REXO5","81691",10.913616,10.897873,8.428666
"87","ENSG00000005194","CIAPIN1","57019",55.478715,50.680922,45.977997
"88","ENSG00000005206","SPPL2B","56928",32.899511,47.976128,37.296109
"89","ENSG00000005238","ATOSB","80256",7.768728,18.602097,17.960308
"90","ENSG00000005243","COPZ2","51226",17.854186,34.07007,31.348059
"91","ENSG00000005249","PRKAR2B","5577",10.566338,12.618595,13.516048
"92","ENSG00000005302","MSL3","10943",43.570399,30.109591,27.662982
"93","ENSG00000005339","CREBBP","1387",19.9818,13.341732,13.274121
"94","ENSG00000005379","TSPOAP1","9256",3.145347,1.321277,0.771667
"96","ENSG00000005421","PON1","5444",1.322698,2.793059,4.428338
"97","ENSG00000005436","GCFC2","6936",12.424044,15.012679,12.915764
"98","ENSG00000005448","WDR54","84058",29.589294,40.756377,39.013794
"99","ENSG00000005469","CROT","54677",14.347574,14.490238,11.128009
"100","ENSG00000005471","ABCB4","5244",0.175849,0.286641,0.23384
"101","ENSG00000005483","KMT2E","55904",22.851161,31.481944,31.80214
"102","ENSG00000005486","RHBDD2","57414",53.827326,44.384517,40.384434
"103","ENSG00000005513","SOX8","30812",0,0.173048,0.200947
"104","ENSG00000005700","IBTK","25998",20.978826,21.742115,21.174074
"105","ENSG00000005801","ZNF195","7748",63.127949,51.441861,51.725208
"106","ENSG00000005810","MYCBP2","23077",19.122846,21.082592,23.51086
"107","ENSG00000005812","FBXL3","26224",6.55825,5.20116,4.257446
"109","ENSG00000005882","PDK2","5164",23.58546,20.714716,25.995242
"110","ENSG00000005884","ITGA3","3675",3.577432,9.126623,7.804509
"111","ENSG00000005889","ZFX","7543",60.391636,54.571666,54.544101
"112","ENSG00000005893","LAMP2","3920",67.959719,86.966137,88.894628
"113","ENSG00000005961","ITGA2B","3674",4.76028,2.445934,3.071708
"114","ENSG00000005981","ASB4","51666",49.274366,76.379241,77.997035
"115","ENSG00000006007","GDE1","51573",53.292207,61.721522,61.28213
"116","ENSG00000006015","REX1BD","55049",38.157607,43.532015,39.295987
"117","ENSG00000006016","CRLF1","9244",0.791992,15.11435,14.019543
"118","ENSG00000006025","OSBPL7","114881",0.773508,1.004051,0.941018
"119","ENSG00000006042","TMEM98","26022",24.099389,25.966258,27.694449
"120","ENSG00000006047","YBX2","51087",0,1.402507,0.787059
"122","ENSG00000006062","MAP3K14","9020",8.89459,17.122394,13.620828
"123","ENSG00000006071","ABCC8","6833",0,0.173567,0.319162
"125","ENSG00000006118","TMEM132A","54972",108.509911,91.654015,82.671204
"126","ENSG00000006125","AP2B1","163",236.189347,218.372334,205.5955
"127","ENSG00000006128","TAC1","6863",0.365858,0.136424,0.054783
"128","ENSG00000006194","ZNF263","10127",16.399675,26.906458,28.294368
